id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5215726559666012e+18,2022-05-03 19:29:25+00:00,['1521572655966601221'],"Fun fact, my friend and I had a radio show on Demon FM (our student radio) called the Uncouth Fairies and Zac from Special Needs (terrible terrible band name) named us… https://t.co/Exw98mLcPh",fun fact my friend and i had a radio show on demon fm our student radio called the uncouth fairies and zac from special needs terrible terrible band name named us ,fact friend radio show student radio fairy need band name
1.521568460706304e+18,2022-05-03 19:12:45+00:00,['1521568460706304002'],@the__DAW No but something like them! But shitter!, no but something like them but shitter,something shitter
1.5215635527122166e+18,2022-05-03 18:53:14+00:00,['1521563552712216576'],@ShaneOS79629114 C’mon… none of these were shitter than The Others!!, cmon none of these were shitter than the others,cmon none others
1.5215615556405002e+18,2022-05-03 18:45:18+00:00,['1521561555640500224'],@politicalfutbal Damn none of these!, damn none of these,damn none
1.5215593392024945e+18,2022-05-03 18:36:30+00:00,['1521559339202494466'],@jimwaterson Good guess but no. I honestly can’t think of anymore clues but I will know them when I see the name. I think they were a band that started with The though….!, good guess but no i honestly can’t think of anymore clues but i will know them when i see the name i think they were a band that started with the though,guess think anymore clue name band though
1.521559030501675e+18,2022-05-03 18:35:16+00:00,['1521559030501675009'],@MrMutantes None of these are the one but thanks, none of these are the one but thanks,none thanks
1.521558967390032e+18,2022-05-03 18:35:01+00:00,['1521558967390031874'],@DaleTho02514848 None of these. But c’mon The Libertines weren’t shitter than The Others!, none of these but c’mon the libertines weren’t shitter than the others,none libertine others
1.521554221111423e+18,2022-05-03 18:16:10+00:00,['1521554221111422977'],Help. I’m trying to remember the name of a British indie band from the early 2000s. They were like The Others but shitter….,help i’m trying to remember the name of a british indie band from the early they were like the others but shitter,help name indie band others shitter
1.521527309680976e+18,2022-05-03 16:29:13+00:00,['1521527309680975873'],And I don't just mean in a physical health way... I mean in a mental health way too. An unwanted pregnancy for whatever reason (and yes that includes just getting accidentally pregnant) is a terrible and terrifying burden.,and i don't just mean in a physical health way i mean in a mental health way too an unwanted pregnancy for whatever reason and yes that includes just getting accidentally pregnant is a terrible and terrifying burden,health health pregnancy reason burden
1.521525390497493e+18,2022-05-03 16:21:36+00:00,['1521525390497492994'],I am pro-abortion and I'm not ashamed to say that. It saves lives. Pure and simple. https://t.co/in3n1idCu3,i am proabortion and i'm not ashamed to say that it saves lives pure and simple ,proabortion pure
1.52146608199458e+18,2022-05-03 12:25:56+00:00,['1521466081994579973'],@tiffphilippou Awww I was going to say in my voice note earlier that I feel like you would have heard it all before haha. Glad you enjoyed it!, awww i was going to say in my voice note earlier that i feel like you would have heard it all before haha glad you enjoyed it,awww voice note
1.521425250818343e+18,2022-05-03 09:43:41+00:00,['1521425250818342913'],"I was a guest on @LucyMeggeson’s new podcast! We talk about identity, fairytales, the difference between being happily single and being happy and single, the really bad advice I’ve been given the times I struggled most with being single. Have a listen: https://t.co/fFdAO8oAfP https://t.co/PKwTVLNizw",i was a guest on s new podcast we talk about identity fairytales the difference between being happily single and being happy and single the really bad advice i’ve been given the times i struggled most with being single have a listen  ,guest podcast identity difference advice time
1.5203634727893238e+18,2022-04-30 11:24:33+00:00,['1520363472789323776'],"@nakedvix @DrPragyaAgarwal When I was 27 and living in South Korea, my parents sold the house they bought before I was born. My granddad also died his house, which was round the corner, sold. That house that little area had been my anchor my whole life it was gone and I wasn’t there to say goodbye",  when i was and living in south korea my parents sold the house they bought before i was born my granddad also died his house which was round the corner sold that house that little area had been my anchor my whole life it was gone and i wasn’t there to say goodbye,parent house granddad house corner house area anchor life goodbye
1.5203451257167012e+18,2022-04-30 10:11:39+00:00,['1520345125716701184'],This is wild. Also she doesn’t seem to understand that the issue is he has been accused of watching porn WHILE AT WORK and in view of colleagues and when he was meant to be representing his constituents and upholding democracy etc. https://t.co/sv6MQe9wBD,this is wild also she doesn’t seem to understand that the issue is he has been accused of watching porn while at work and in view of colleagues and when he was meant to be representing his constituents and upholding democracy etc ,issue work view colleague constituent democracy
1.5200324404289454e+18,2022-04-29 13:29:09+00:00,['1520032440428945410'],@LeapersCo @FreelancerMagz @WritersSalon for any freelance writers (no matter what kind of writing),   for any freelance writers no matter what kind of writing,freelance matter kind writing
1.51968453666116e+18,2022-04-28 14:26:42+00:00,['1519684536661159941'],I know someone who went through conversion therapy in the US and also escaped to Spain when it didn't work. They were gay not trans but all the feelings they described are echoed here. The ban should be for ALL not just for some. Hope lots read this: https://t.co/CIs469aX1x,i know someone who went through conversion therapy in the us and also escaped to spain when it didn't work they were gay not trans but all the feelings they described are echoed here the ban should be for all not just for some hope lots read this ,someone conversion therapy work trans feeling hope
1.5196807783381934e+18,2022-04-28 14:11:46+00:00,['1519680778338193408'],Giving us a permanent extra bank holiday is the least that the government could do. A little opinion piece for @theipaper featuring some memories of my fave bank holidays: https://t.co/LZC6ymUAEH,giving us a permanent extra bank holiday is the least that the government could do a little opinion piece for  featuring some memories of my fave bank holidays ,bank holiday government opinion piece memory bank holiday
1.5193131890366095e+18,2022-04-27 13:51:06+00:00,['1519313189036609541'],@lawkas @KylaJ38 @vickteryz Ooh great. Thanks! I’ll be in touch if I need anything else. Just in the research stage at the moment!,   ooh great thanks i’ll be in touch if i need anything else just in the research stage at the moment,thanks anything research stage moment
1.5192346886736325e+18,2022-04-27 08:39:10+00:00,['1519234688673632257'],@BethanNiaDavies Aww thanks. Don't need that right now but potentially in the future!, aww thanks don't need that right now but potentially in the future,thanks future
1.5192325416806154e+18,2022-04-27 08:30:38+00:00,['1519232541680615427'],You can also find all my usual recommendations at the bottom. There are loads of interesting articles for you to check out on a range of topics about being single or related to the single experience. https://t.co/Sfg1rFouU6,you can also find all my usual recommendations at the bottom there are loads of interesting articles for you to check out on a range of topics about being single or related to the single experience ,recommendation bottom load article range topic experience
1.5192323411216837e+18,2022-04-27 08:29:50+00:00,['1519232341121683457'],"@jessicabateman In it, I also speak about the reaction to the podcast I was recently interviewed for. @tiffphilippou tells me the episode of Totally Fine with me has been really popular and judging by the amount of messages I've received, I'm not surprised. https://t.co/Sfg1rFouU6", in it i also speak about the reaction to the podcast i was recently interviewed for  tells me the episode of totally fine with me has been really popular and judging by the amount of messages i've received i'm not surprised ,reaction podcast tell episode judging amount message
1.5192318801131397e+18,2022-04-27 08:28:00+00:00,['1519231880113139720'],"Here's a link to my latest newsletter, which was all about friendship and includes an extract of the essay I wrote for Unattached: Essays on Singlehood (which includes the story of how I met @jessicabateman 🥰) Plus some friend making tips more: https://t.co/Sfg1rFouU6",here's a link to my latest newsletter which was all about friendship and includes an extract of the essay i wrote for unattached essays on singlehood which includes the story of how i met   plus some friend making tips more ,link newsletter friendship extract essay essay singlehood story friend
1.519227181037146e+18,2022-04-27 08:09:20+00:00,['1519227181037146112'],"@Geoff_Meenan Thanks so much, Geoff!", thanks so much geoff,thanks geoff
1.519222382484988e+18,2022-04-27 07:50:16+00:00,['1519222382484987905'],Has anyone read any good articles or blogs or heard podcasts on 'sandwich caring' where people - usually women - are simultaneously looking after their kids and their parents? Particularly interested in stories where brothers don't help or if the main carer is single (or both),has anyone read any good articles or blogs or heard podcasts on sandwich caring where people  usually women  are simultaneously looking after their kids and their parents particularly interested in stories where brothers don't help or if the main carer is single or both,anyone article blog heard podcasts sandwich people woman parent story brother help carer
1.5189686772274545e+18,2022-04-26 15:02:08+00:00,['1518968677227454466'],@lottiecgross Read @VivGroskop’s How To Own The Room. (I actually listened to the audiobook which was really good). She also has a podcast, read s how to own the room i actually listened to the audiobook which was really good she also has a podcast,room audiobook podcast
1.5181876048475668e+18,2022-04-24 11:18:26+00:00,['1518187604847566848'],My latest newsletter has gone out into the world. On a Sunday no less! Pleased to have got back to my roots. It’s all about friendships and the joy of making new ones and includes an extract of my essay in Unattached: Essays on Singlehood! Check your inbox and spam folders! https://t.co/IQHf8m5T3X,my latest newsletter has gone out into the world on a sunday no less pleased to have got back to my roots it’s all about friendships and the joy of making new ones and includes an extract of my essay in unattached essays on singlehood check your inbox and spam folders ,newsletter world root friendship extract essay essay singlehood inbox spam folder
1.5174811165250232e+18,2022-04-22 12:31:06+00:00,['1517481116525023232'],@dhrutishah Love this! Had a similar feeling when I was described as a writer instead of a journalist 🥰, love this had a similar feeling when i was described as a writer instead of a journalist ,feeling writer journalist
1.5174521422940529e+18,2022-04-22 10:35:58+00:00,['1517452142294052865'],@Dahabaalihussen @GMB Awesome. Congrats!,  awesome congrats,awesome congrats
1.5174131309299425e+18,2022-04-22 08:00:57+00:00,['1517413130929942528'],"@DonnaLFerguson @tiffphilippou Ah thanks for listening, Donna",  ah thanks for listening donna,thanks donna
1.5171422658602967e+18,2022-04-21 14:04:37+00:00,['1517142265860296706'],Compare the two book descriptions 😬😬😬 https://t.co/8DjVnvjko8,compare the two book descriptions  ,book description
1.5171191564826788e+18,2022-04-21 12:32:48+00:00,['1517119156482678784'],I've had such an amazing reaction to this podcast. I've had loads of private messages from people telling me they feel the same and now feel less alone. Thanks so much to @tiffphilippou for having me on to talk about this important – and not talked about enough – topic! https://t.co/qMQXqtB5sB,i've had such an amazing reaction to this podcast i've had loads of private messages from people telling me they feel the same and now feel less alone thanks so much to  for having me on to talk about this important  and not talked about enough  topic ,reaction podcast load message people thanks topic
