id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.564998222669615e+18,2022-08-31 15:27:07+00:00,['1564998222669615112'],"Black student won't cut his locs, will leave school instead - TheGrio https://t.co/zkuvADrV0h",black student cut locs leave school instead thegrio,False,student cut locs school thegrio 
1.5647991250230725e+18,2022-08-31 02:15:58+00:00,['1564799125023072256'],"“Feels Like a Real Slap in the Face”: There’s New Money in Local News, Just Not at the Papers https://t.co/rqpA9J5YeA via @VanityFair",feel like real slap face new money local news paper via,False,feel face money news paper 
1.5647954319887278e+18,2022-08-31 02:01:18+00:00,['1564795431988727815'],How Local Families Cope With Sickle Cell: 'My Kids Are In Pain...' - via  @TamikaNews  https://t.co/sAMDCewj1Z,local family cope sickle cell 'my kid pain' via,False,family cope sickle cell kid pain 
1.5646130535088947e+18,2022-08-30 13:56:35+00:00,['1564613053508894721'],"Lakewood, NJ, removed trees in Town Square to stop unhoused people from spending time there. 

The township received complaints from residents and employees about homeless people defecating and urinating in the area.  https://t.co/YMWq3ty0dC via @asburyparkpress",lakewood removed tree town square stop unhoused people spending time township received complaint resident employee homeless people defecating urinating area via,False,lakewood town stop time township resident employee homeless area 
1.5646108110074757e+18,2022-08-30 13:47:41+00:00,['1564610811007475723'],"Lawmakers’ move to close the “boyfriend loophole” received far less attention than other aspects of the gun violence bill. But advocates and lawmakers are hopeful this provision will save lives and become a major part of the law’s legacy.
https://t.co/rOd9WoCbND",lawmaker move close boyfriend loophole received far attention aspect gun violence bill advocate lawmaker hopeful provision save life become major part law legacy,False,lawmaker move loophole attention gun violence bill lawmaker provision life become part law legacy 
1.5645972310590833e+18,2022-08-30 12:53:43+00:00,['1564597231059083266'],Woke up to #BoycottCNN trending and wondered why. Thank goodness for Google.  https://t.co/PSxAJgRUBp,woke trending wondered thank goodness google,False,woke goodness google 
1.5642840189584015e+18,2022-08-29 16:09:07+00:00,['1564284018958401538'],Former TV news anchor and USF Freedom High women’s basketball player Neena Pacholke dies at 27 https://t.co/97y096PMpS,former news anchor usf freedom high woman basketball player neena pacholke,False,news anchor usf freedom woman basketball player neena pacholke 
1.564282047375483e+18,2022-08-29 16:01:17+00:00,['1564282047375482881'],"Seventeen Baltimore City Public Schools will release early Monday and Tuesday in anticipation of sweltering heat. Why? No air conditioning! 

https://t.co/sPB1ivJKdG https://t.co/L5tKqLzZQj",seventeen baltimore city public school release early monday tuesday anticipation sweltering heat air conditioning,False,city school release monday anticipation heat air 
1.5642560079367864e+18,2022-08-29 14:17:49+00:00,['1564256007936786433'],"""'Tomato flu' is not a type of influenza, has nothing to do with tomatoes, and is not a new disease.

It is not related to foot and mouth disease of cattle. It is usually mild and clears up by itself within a week.""  https://t.co/aFtKE8XupT via @ConversationUK",'tomato flu' type influenza nothing tomato new disease related foot mouth disease cattle usually mild clear within week via,False,flu influenza nothing disease foot mouth disease week 
1.5642367694822154e+18,2022-08-29 13:01:22+00:00,['1564236769482215426'],"Today is the first day in 2.5 years since I’ve been caught up in the mix of “First Day of School” commute by public transportation. 

The DC busses are filled with children and parents.",today first day year since ive caught mix first day school commute public transportation bus filled child parent,False,today day year caught mix day school commute transportation bus parent 
1.5642349430264054e+18,2022-08-29 12:54:07+00:00,['1564234943026405378'],"I always admired kids who had a Trapper Keeper. Now that I’m grown I can finally afford one. 

E. Bryant Crutchfield, 85, Dies; Gave the World the Trapper Keeper - The New York Times https://t.co/XvEGRVgzBK",always admired kid trapper keeper grown finally afford one bryant crutchfield gave world trapper keeper new york time,False,kid crutchfield world trapper york time 
1.5642335449558426e+18,2022-08-29 12:48:33+00:00,['1564233544955842562'],"“Some of the brightest minds comes from the darkest places.” - Eric Hale, 2021 Texas Teacher of the Year 

@erichale1979 reason why he continues to teach might give you the motivation to keep on going. via ⁦@NPR⁩ ⁦⁦@MorningEdition⁩  https://t.co/QdnXf0a1Rt",brightest mind come darkest place eric hale texas teacher year reason continues teach might give motivation keep going via,False,mind come place hale texas year reason teach motivation 
