id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5221169413930598e+18,2022-05-05 07:32:13+00:00,['1522116941393059841'],@chrismorgan57 Remind me of what happened with Laurent Robert. More and more fans got on his back but would have been the same ones mortified when we lost such a creative attacking talent, remind me of what happened with laurent robert more and more fans got on his back but would have been the same ones mortified when we lost such a creative attacking talent,laurent robert back attacking talent
1.5219696775258317e+18,2022-05-04 21:47:02+00:00,['1521969677525831680'],@1HowardWalker @dancingbear76 @coyknorth @RossWigham Real Madrid’s cavernous Bernabeu stadium an inferno tonight. A cauldron. Lions always win at the colosseum,    real madrid’s cavernous bernabeu stadium an inferno tonight a cauldron lions always win at the colosseum,bernabeu stadium inferno cauldron lion colosseum
1.521957860426539e+18,2022-05-04 21:00:05+00:00,['1521957860426539013'],@coyknorth @1HowardWalker @dancingbear76 @RossWigham The old cliche - it only takes a few seconds to score a goal,    the old cliche  it only takes a few seconds to score a goal,cliche second goal
1.521806780971602e+18,2022-05-04 10:59:45+00:00,['1521806780971601921'],@dancingbear76 @1HowardWalker @RossWigham @coyknorth floats my boat https://t.co/xfvlVUIpzS,    floats my boat ,float boat
1.52155726927992e+18,2022-05-03 18:28:16+00:00,['1521557269279920129'],@RossWigham @dancingbear76 @ChristianCeriso @coyknorth @1HowardWalker Bloke at my uni rang Dougie Donnelly out of bed at his hotel at the 1995 U.K. championships in Preston. Donnelly had been fronting the BBC’s coverage of the event. Amazingly the hotel put him through to his room. https://t.co/0WfhD865Mu,     bloke at my uni rang dougie donnelly out of bed at his hotel at the uk championships in preston donnelly had been fronting the bbc’s coverage of the event amazingly the hotel put him through to his room ,bloke rang dougie hotel championship preston coverage event hotel room
1.5212179770262405e+18,2022-05-02 20:00:03+00:00,['1521217977026240517'],@coyknorth @dancingbear76 @RossWigham @1HowardWalker Ronnie = pantheon,    ronnie  pantheon,ronnie pantheon
1.5210818823597834e+18,2022-05-02 10:59:15+00:00,['1521081882359783426'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker It was a pomme frite glazed in an unctuous curry jus,    it was a pomme frite glazed in an unctuous curry jus,frite curry
1.521080809633063e+18,2022-05-02 10:54:59+00:00,['1521080809633062913'],@1HowardWalker @dancingbear76 @coyknorth @RossWigham For Nufc to be caught Leeds / Burnley need to win three from their last four. Everton need to win 4 from their last five,    for nufc to be caught leeds  burnley need to win three from their last four everton need to win from their last five,nufc leeds need everton need
1.5210754223851233e+18,2022-05-02 10:33:35+00:00,['1521075422385123331'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker Not to tell. I ate the chip. Chip got stuck. A few moments of panic,    not to tell i ate the chip chip got stuck a few moments of panic,chip chip moment panic
1.520799392755769e+18,2022-05-01 16:16:44+00:00,['1520799392755769347'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker I nearly choked on a chip last night,    i nearly choked on a chip last night,chip night
1.5207198430451343e+18,2022-05-01 11:00:38+00:00,['1520719843045134337'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker charting at number ten on this week’s top 40 countdown it’s Newcastle United with ‘No Points Til Burnley’,    charting at number ten on this week’s top countdown it’s newcastle united with no points til burnley,number countdown point burnley
1.520711117038891e+18,2022-05-01 10:25:58+00:00,['1520711117038891008'],@RossWigham @coyknorth Naughty snooker vs the greatest player ever,  naughty snooker vs the greatest player ever,naughty snooker player
1.5204871652805345e+18,2022-04-30 19:36:04+00:00,['1520487165280534528'],@dancingbear76 @MarkBishop01 @coyknorth @RossWigham @1HowardWalker A said yesterday death to 1230 kick offs,     a said yesterday death to kick offs,yesterday death offs
1.5204340888255324e+18,2022-04-30 16:05:09+00:00,['1520434088825532417'],"@dancingbear76 @coyknorth @RossWigham @1HowardWalker You’re a fire starter, twisted fire starter",    you’re a fire starter twisted fire starter,fire starter fire starter
1.5203593970877153e+18,2022-04-30 11:08:21+00:00,['1520359397087715328'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker No Fabinho / Thiago. Jota a worry mind,    no fabinho  thiago jota a worry mind,fabinho worry mind
1.5203533656366612e+18,2022-04-30 10:44:23+00:00,['1520353365636661249'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker Wood bench. (A Black and Decker),    wood bench a black and decker,wood bench decker
1.5203529129286164e+18,2022-04-30 10:42:35+00:00,['1520352912928616448'],"@GoalintonJ7 Everton have six games left, so in theory could hit 47 (unlikely tho)", everton have six games left so in theory could hit unlikely tho,everton game theory
1.52031459243767e+18,2022-04-30 08:10:19+00:00,['1520314592437669889'],@coyknorth @dancingbear76 @RossWigham @1HowardWalker Death to 12.30 kick offs,    death to kick offs,death offs
1.5201887172600668e+18,2022-04-29 23:50:08+00:00,['1520188717260066816'],@dancingbear76 @coyknorth @RossWigham @1HowardWalker Snooker tales,    snooker tales,snooker tale
1.5201185039483126e+18,2022-04-29 19:11:08+00:00,['1520118503948312579'],@1HowardWalker @dancingbear76 @RossWigham @coyknorth Well the game is certainly box office,    well the game is certainly box office,game office
1.5200960146271355e+18,2022-04-29 17:41:46+00:00,['1520096014627135491'],@RossWigham @dancingbear76 @coyknorth @1HowardWalker White heat tomorrow. High noon.,    white heat tomorrow high noon,heat tomorrow noon
1.5197640699385733e+18,2022-04-28 19:42:44+00:00,['1519764069938573325'],@coyknorth @RossWigham Played a frame one time my opponent came at me with his cue in a temper,  played a frame one time my opponent came at me with his cue in a temper,frame time opponent temper
1.519756634607829e+18,2022-04-28 19:13:12+00:00,['1519756634607828997'],@coyknorth @RossWigham Stunning pot under pressure. It was in all the way. Morpeth cons club never saw such sporting drama,  stunning pot under pressure it was in all the way morpeth cons club never saw such sporting drama,pressure drama
1.519691876844163e+18,2022-04-28 14:55:52+00:00,['1519691876844163076'],@dancingbear76 @1HowardWalker @RossWigham @coyknorth They have to expand SJP. Gallowgate. Extra tier. Demand and supply,    they have to expand sjp gallowgate extra tier demand and supply,gallowgate demand supply
1.5196690868249436e+18,2022-04-28 13:25:19+00:00,['1519669086824943616'],@dancingbear76 @1HowardWalker @RossWigham @coyknorth It was like being in category D prison,    it was like being in category d prison,category prison
1.5196653645814292e+18,2022-04-28 13:10:31+00:00,['1519665364581429248'],@dancingbear76 @1HowardWalker @RossWigham @coyknorth Wasn’t Stokes a shambles as skipper in 2020?,    wasn’t stokes a shambles as skipper in,shamble skipper
1.5196507521841723e+18,2022-04-28 12:12:27+00:00,['1519650752184172544'],The box office needs major improvement #nufc,the box office needs major improvement ,office improvement
1.5193946190747484e+18,2022-04-27 19:14:40+00:00,['1519394619074748416'],@1HowardWalker @RossWigham @coyknorth @dancingbear76 Klopp complained re 12:30 start on Sat but they’re at home tonight,    klopp complained re start on sat but they’re at home tonight,klopp start home tonight
1.5193176105879552e+18,2022-04-27 14:08:40+00:00,['1519317610587955201'],@coyknorth @dancingbear76 @RossWigham @1HowardWalker Beaches. Fields. Landing grounds. Hills. streets. Draw.,    beaches fields landing grounds hills streets draw,field ground hill street
1.519299610929414e+18,2022-04-27 12:57:09+00:00,['1519299610929414144'],@coyknorth @dancingbear76 @RossWigham @1HowardWalker If anyone is going to give this lot a run for their money they need to come out the blocks like Usain Bolt. Rock them before they heads have cleared. First round TKO,    if anyone is going to give this lot a run for their money they need to come out the blocks like usain bolt rock them before they heads have cleared first round tko,anyone money block bolt round
1.5192909257254953e+18,2022-04-27 12:22:38+00:00,['1519290925725495297'],@dancingbear76 @RossWigham @1HowardWalker @coyknorth Ok thin we need to get stuck in as soon as it kicks off. No cat and mouse. Throw the kitchen sink early doors,    ok thin we need to get stuck in as soon as it kicks off no cat and mouse throw the kitchen sink early doors,mouse kitchen door
1.519283493318144e+18,2022-04-27 11:53:06+00:00,['1519283493318144000'],"@RossWigham @dancingbear76 @1HowardWalker @coyknorth Let’s face it, we need moon and stars in perfect alignment on come high noon satdee",    let’s face it we need moon and stars in perfect alignment on come high noon satdee,face star alignment noon satdee
