id,created_at,edit_history_tweet_ids,text,clean_text
1.5337084221301596e+18,2022-06-06 07:12:37+00:00,['1533708422130159616'],".@UKLabour please take note - this is sharper, more incisive, more critical opposition than you have been able to muster thus far https://t.co/hZcNQmn4x0",please take note sharper incisive critical opposition able muster thus far
1.5336778167173857e+18,2022-06-06 05:11:00+00:00,['1533677816717385728'],Grotesque https://t.co/KU4qeEMoYl,grotesque
1.5335120132923963e+18,2022-06-05 18:12:09+00:00,['1533512013292396544'],"I've tried really, really hard not to say anything about the main UK media event of the weekend but...really...honestly...W T F is this particular bit of spectacle about??? Monarch as hologram???!!!!! ????????????? https://t.co/MLEhAxTSDt",i've tried really really hard say anything main medium event weekend butreallyhonestlyw particular bit spectacle monarch hologram
1.5335094196019978e+18,2022-06-05 18:01:51+00:00,['1533509419601997824'],the already lamentable @scullyp sinks to new depths of vacuity attempting to defend the indefensible. Just how low will these these puppets go to keep their jobs? Their boss @BorisJohnson wouldn't hesitate in throwing every one of them under a big red bus to save  his career... https://t.co/0As4D2MYWR,already lamentable sink new depth vacuity attempting defend indefensible low puppet keep job bos hesitate throwing every one big red bus save career
1.5335081155844915e+18,2022-06-05 17:56:40+00:00,['1533508115584491520'],an interesting story from one of the affluent frontlines of the water/climate crisis in California https://t.co/Men2grPQTA,interesting story one affluent frontlines waterclimate crisis california
1.533449584395141e+18,2022-06-05 14:04:05+00:00,['1533449584395141120'],"@mo04933471 also Claudia Roden's 'The Food of Italy' is a bit of a classic, very accessible too: https://t.co/FQszagkEtk",also claudia roden's 'the food italy' bit classic accessible
1.5334493439063327e+18,2022-06-05 14:03:08+00:00,['1533449343906332672'],@mo04933471 The Silver Spoon - comprehensive: https://t.co/riJPwzunEO,silver spoon comprehensive
1.53283209582712e+18,2022-06-03 21:10:24+00:00,['1532832095827120129'],@MrHarryCole https://t.co/a7V4fNcelc,
1.532831861180883e+18,2022-06-03 21:09:29+00:00,['1532831861180882944'],@BabyBear6889 any of the Uncle books by JP Martin - wonderful stuff,uncle book martin wonderful stuff
1.5328316716277924e+18,2022-06-03 21:08:43+00:00,['1532831671627792384'],"Boos and Jeers, @BBCNews, not 'cheers' -- #impartiality https://t.co/E8Lo5xACqZ",boo jeer 'cheers'
1.532815765723824e+18,2022-06-03 20:05:31+00:00,['1532815765723824130'],"@Thee_Roxy_Cox @Mandoline_Blue The only thing they seem to have in common is that they are both, in their own ways,  venal, ambitious psychopaths",thing seem common way venal ambitious psychopath
1.5328152179268526e+18,2022-06-03 20:03:20+00:00,['1532815217926852610'],The Minister for Truth https://t.co/PXBUtllfiP,minister truth
1.532805124543943e+18,2022-06-03 19:23:14+00:00,['1532805124543942658'],"A good word to describe the sheer variety, energy and intelligence of what we saw/heardthis evening at the @UniWestScotland @UWScreative Music Showcase might be ‘artistry’ - our students have made incredibly smart work in v difficult circumstances over the last couple of years",good word describe sheer variety energy intelligence sawheardthis evening music showcase might artistry student made incredibly smart work difficult circumstance last couple year
1.5326523620993106e+18,2022-06-03 09:16:13+00:00,['1532652362099310595'],"@PaulbernalUK well there are the scottish greens, but I guess you have to be in scotland...https://t.co/dNSV9hvFVo",well scottish green guess scotland
1.5322647491064504e+18,2022-06-02 07:35:58+00:00,['1532264749106450432'],Somewhat ironic given the treatment meted out to the French aristocracy after 1789 https://t.co/HkiOw8CQEA,somewhat ironic given treatment meted french aristocracy
1.5322635569718886e+18,2022-06-02 07:31:14+00:00,['1532263556971888640'],"@murdo_fraser @ScotParl @scottishgreens Excellent. I applaud them. Scotland should be a modern European democracy, not bound and gagged by a sycophantic quasi medieval class ridden corpse of empire",excellent applaud scotland modern european democracy bound gagged sycophantic quasi medieval class ridden corpse empire
