Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
517,1.4736769108865884e+18,2021-12-22 15:28:49+00:00,['1473676910886588434'],@PictureSporting Maybe but totally indefensible actions over recent Yorkshire revelations - very unhappy watching Big Bash this morning to see Vaughan commentating. Time to move cricket into 21st century.,, maybe but totally indefensible actions over recent yorkshire revelations  very unhappy watching big bash this morning to see vaughan commentating time to move cricket into 21st century,True,False
518,1.4736156827807334e+18,2021-12-22 11:25:31+00:00,['1473615682780733444'],Here's my England team for the third Ashes Test. Agree? https://t.co/YJrq8Lg5J2 #bbccricket,,heres my england team for the third ashes test agree  ,True,False
546,1.4704607450621706e+18,2021-12-13 18:28:56+00:00,['1470460745062170633'],https://t.co/Pm0eupKatK,,,True,False
573,1.4671805367960084e+18,2021-12-04 17:14:33+00:00,['1467180536796008463'],@TheKop_com Origggggggiiiiiiiii!,, origggggggiiiiiiiii,True,False
577,1.4671800259171492e+18,2021-12-04 17:12:31+00:00,['1467180025917149185'],https://t.co/Gfj7qUhNFn,,,True,False
586,1.4659336987931935e+18,2021-12-01 06:40:04+00:00,['1465933698793193477'],@EE Being charges for a tablet I didn't receive and have cancelled - store and CS have done nothing please assist.,, being charges for a tablet i didnt receive and have cancelled  store and cs have done nothing please assist,True,False
607,1.4646814312261018e+18,2021-11-27 19:44:00+00:00,['1464681431226101762'],@marksandspencer Just found a foreign body in a garlic bread. https://t.co/VAQmlaPUSL,, just found a foreign body in a garlic bread ,True,False
628,1.4632707143630725e+18,2021-11-23 22:18:19+00:00,['1463270714363072517'],@HenryJackson87 Si senor - give the ball to Bobby and he'll score - underrated genius.,, si senor  give the ball to bobby and hell score  underrated genius,True,False
640,1.461992488185516e+18,2021-11-20 09:39:06+00:00,['1461992488185516032'],@TQuizmeister Roland Garros was a WWI fighter pilot.,, roland garros was a wwi fighter pilot,True,False
690,1.456146667166634e+18,2021-11-04 06:29:54+00:00,['1456146667166633990'],https://t.co/4Wv3IZ4qd4,,,True,False
695,1.454872188704678e+18,2021-10-31 18:05:34+00:00,['1454872188704677891'],@fastcleaners incident has now been passed on to the police.,, incident has now been passed on to the police,True,False
696,1.4548619250498437e+18,2021-10-31 17:24:47+00:00,['1454861925049843715'],@MetCC They did not leave the property when asked and the work was not satisfactorily completed. https://t.co/immJULKsFd was the company. Many thanks,, they did not leave the property when asked and the work was not satisfactorily completed  was the company many thanks,True,False
697,1.454861689275437e+18,2021-10-31 17:23:51+00:00,['1454861689275437056'],@MetCC Booked two gardeners to clear my parents garden on Hendon Way today. It is very overgrown. On arrival the company doubled their quote and when I was not happy with the work done. The two sons of the gardeners turned up at the property and were quite aggressive towards me.,, booked two gardeners to clear my parents garden on hendon way today it is very overgrown on arrival the company doubled their quote and when i was not happy with the work done the two sons of the gardeners turned up at the property and were quite aggressive towards me,True,False
698,1.4548598545359626e+18,2021-10-31 17:16:33+00:00,['1454859854535962628'],@fastcleaners Disappointed with the gardening booking I had today. The quote was changed to double the price. Taking the garden waste away was extortionate. I was then accosted by the sons of the gardeners who turned up at the property and were threatening towards me!!!,, disappointed with the gardening booking i had today the quote was changed to double the price taking the garden waste away was extortionate i was then accosted by the sons of the gardeners who turned up at the property and were threatening towards me,True,False
711,1.453605888313512e+18,2021-10-28 06:13:45+00:00,['1453605888313511940'],Amazing. https://t.co/eWA9CjDUXK,,amazing ,True,False
757,1.452335291780551e+18,2021-10-24 18:04:51+00:00,['1452335291780550657'],@sixtimesclub_ Stunning.,, stunning,True,False
761,1.4514667516953764e+18,2021-10-22 08:33:35+00:00,['1451466751695376400'],https://t.co/yEpuTGhvMd surely they should be setting a better example.,, surely they should be setting a better example,True,False
770,1.44649790108194e+18,2021-10-08 15:29:08+00:00,['1446497901081939973'],@_TheKopite I still love the breakaway goal against Arsenal.,, i still love the breakaway goal against arsenal,True,False
779,1.446185565066498e+18,2021-10-07 18:48:02+00:00,['1446185565066498048'],@PastPostcard NW London.,, nw london,True,False
872,1.4353173184863068e+18,2021-09-07 19:01:30+00:00,['1435317318486306830'],@AnujDal Great to see the runs and wickets flowing in the last couple of games. Congrats on the 100 today. Really positive end to the season.,, great to see the runs and wickets flowing in the last couple of games congrats on the 100 today really positive end to the season,True,False
