,username,name,id,description,created_at,tweet_count,public_metrics
182,peterahampshire,Peter Hampshire,187870200,"🏃,🚴 preferably muddy. Cross-site Lead for Critical Care @livhospitals. 🎸🐕🐢🐢👱👱👱Opt in to @NHSOrganDonor. Views mine.",2010-09-07T11:10:38.000Z,,"{'followers_count': 3765, 'following_count': 667, 'tweet_count': 5253, 'listed_count': 20}"
183,UncleBeee,Bruce B 💙🇪🇺,116143320,"Family, cars, cameras, Italian bicycles, HiFi, films & tech. Love 'em all! All views & comments my own. Passionate about the NHS (38yrs) & Social Care",2010-02-21T09:35:04.000Z,,"{'followers_count': 224, 'following_count': 628, 'tweet_count': 11227, 'listed_count': 3}"
184,hine_mezo,Stephen Hine💙,637030288,,2012-07-16T14:48:09.000Z,,"{'followers_count': 314, 'following_count': 738, 'tweet_count': 18100, 'listed_count': 1}"
185,Hanniemeg,_Hannah_,2212735803,Cymraes am byth.,2013-12-07T19:58:18.000Z,,"{'followers_count': 142, 'following_count': 241, 'tweet_count': 408, 'listed_count': 1}"
186,giscardMwizerw,Giscard MWIZERWA,1425762255124275201,I like nursing career,2021-08-12T10:13:22.000Z,,"{'followers_count': 674, 'following_count': 1591, 'tweet_count': 137, 'listed_count': 1}"
187,hamsterjamm,Tygs,370905278,Trump is back. I'm gone. Not engaging with his hate.,2011-09-09T21:01:05.000Z,,"{'followers_count': 354, 'following_count': 1140, 'tweet_count': 10104, 'listed_count': 1}"
188,DaveRay80,Dave 'One Love 🏳️‍🌈' Ray,584775826,"Exiled Brummie, adopted Northerner, Villa & Warks CCC fan, avid gig goer, occasional super star DJ, CWU rep, leftie. #EnoughIsEnough All opinions are my own",2012-05-19T13:51:13.000Z,,"{'followers_count': 352, 'following_count': 1556, 'tweet_count': 1573, 'listed_count': 1}"
189,ColinGYoungie,Colin Young,79057125,Football & business writer. Author of Jack Charlton’s official biog. Business Journalist North East Times. Media person Durham Corinthians FC. NEFWA chairman,2009-10-02T01:17:52.000Z,,"{'followers_count': 4788, 'following_count': 5079, 'tweet_count': 6145, 'listed_count': 93}"
190,katiee_barnes,katie,4040516235,,2015-10-25T17:59:19.000Z,,"{'followers_count': 234, 'following_count': 171, 'tweet_count': 2625, 'listed_count': 0}"
191,CarolineHawksw4,Caroline Hawksworth,1078309684266876928,,2018-12-27T15:20:37.000Z,,"{'followers_count': 5, 'following_count': 103, 'tweet_count': 3, 'listed_count': 0}"
