id,created_at,edit_history_tweet_ids,text,withheld,clean_text
1.4814971705660703e+18,2022-01-13 05:23:45+00:00,['1481497170566070276'],@MiniMcBooom and macon,,macon
1.4813946464504218e+18,2022-01-12 22:36:21+00:00,['1481394646450421760'],@dotunbello1 they turned on unlimited ammo in this thread 😂,,turned unlimited ammo thread
1.481154794257621e+18,2022-01-12 06:43:16+00:00,['1481154794257620992'],@halleberry caption goes too hard,,caption hard
1.4811540894257193e+18,2022-01-12 06:40:28+00:00,['1481154089425719299'],@LoDunnit outro to that song is magical,,outro song magical
1.48111778814822e+18,2022-01-12 04:16:13+00:00,['1481117788148219906'],"@PauleannaR sauce is forever, truly",,sauce forever truly
1.48103008309991e+18,2022-01-11 22:27:42+00:00,['1481030083099910147'],"@rawiya one of my favorite pods, @Ologies has a two-parter on fandoms with @meredithgene: https://t.co/JLsQpc3BeI",,one favorite pod twoparter fandom
1.4810051006090322e+18,2022-01-11 20:48:26+00:00,['1481005100609032195'],@THEK0UNT pc or xbox widdit?,,xbox widdit
1.480417258098856e+18,2022-01-10 05:52:33+00:00,['1480417258098855936'],@njambi_juice following @jenmalone666 might be a start,,following might start
1.480413833545937e+18,2022-01-10 05:38:57+00:00,['1480413833545936896'],@mobrowne shouts to the gully grannies 😤,,shout gully granny
1.4804116041308815e+18,2022-01-10 05:30:05+00:00,['1480411604130881540'],fez grandma on that walk in https://t.co/F5JWWIbmQ8,,fez grandma walk
1.4803886818821243e+18,2022-01-10 03:59:00+00:00,['1480388681882124291'],me watching fez whoop that ass #euphoria https://t.co/ANe4qEDPNe,,watching fez whoop
1.4803052814940406e+18,2022-01-09 22:27:36+00:00,['1480305281494040578'],how crucial is the jules special episode to watch heading into euphoria season 2 tn?,,crucial jules special episode watch heading euphoria season
1.480063510872789e+18,2022-01-09 06:26:53+00:00,['1480063510872788993'],boooooo tomato tomato tomato throwing tomatoes https://t.co/WgQ0aAPJ28,,boooooo tomato tomato tomato throwing tomato
1.479361725434581e+18,2022-01-07 07:58:15+00:00,['1479361725434580998'],might not be any blueprints better than this one https://t.co/xxBnM3qrvH,,might blueprint better one
1.479322333512966e+18,2022-01-07 05:21:43+00:00,['1479322333512966146'],what a crossover 😵‍💫 https://t.co/A19xpxgJPi,,crossover
1.4792358438899794e+18,2022-01-06 23:38:02+00:00,['1479235843889979393'],@FindingParris i see this tweet as i wait in a long line at the grocery 😵‍💫,,see tweet wait long line grocery
1.4792229896275272e+18,2022-01-06 22:46:58+00:00,['1479222989627527172'],"gonna cheat here but three faves:

“Teeth” by Aracelis Girmay

“Boneshepherds” by @patrickrosal

“The Essential Hits of Shorty Bon Bon” by @WilliePerdomo https://t.co/eFDIsWU2Mk",,gonna cheat three faves teeth aracelis girmay boneshepherds essential hit shorty bon bon
1.4792213669226496e+18,2022-01-06 22:40:31+00:00,['1479221366922649600'],@MelloMusicGroup @timmhotep ^ definitely one of the best,,definitely one best
1.478957689095045e+18,2022-01-06 05:12:45+00:00,['1478957689095045120'],tighten up youngin!! https://t.co/A34EEU2ZL7,,tighten youngin
1.4782192580647772e+18,2022-01-04 04:18:29+00:00,['1478219258064777222'],@bashavelli thank you for this 😂😂😂,,thank
