id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.1062944104620114e+18,2019-03-14 20:41:56+00:00,['1106294410462011392'],Uruguayos en el mundo: Londres https://t.co/VchBTTk7Yd,uruguayos mundo londres,mundo 
1.1061819922180178e+18,2019-03-14 13:15:13+00:00,['1106181992218017792'],"UK Government warns British passport holders against travel to Venezuela. Evacuation logistics on hold.

The Foreign and Commonwealth Office advise against all travel... Drug traffickers and illegal armed groups are active... https://t.co/Z5YdxjWw02",government warns british passport holder travel venezuela evacuation logistics hold foreign commonwealth office advise travel drug trafficker illegal armed group active,government passport holder travel venezuela evacuation commonwealth office drug trafficker illegal group 
1.1061632100954194e+18,2019-03-14 12:00:35+00:00,['1106163210095419392'],"Evacuation Order Issued for Americans in Venezuela. 

U.S. citizens residing or traveling in Venezuela should depart Venezuela immediately.  Commercial flights remain available.  There are no plans... https://t.co/Q1AJnUpLRl",evacuation order issued american venezuela citizen residing traveling venezuela depart venezuela immediately commercial flight remain available plan,evacuation order citizen depart venezuela flight plan 
1.1061486588678144e+18,2019-03-14 11:02:46+00:00,['1106148658867814400'],Humilde hasta el final.... por eso es el mejor de la historia https://t.co/ophlB9jGun,humilde hasta final por eso mejor historia,humilde por eso mejor historia 
1.1061446759818732e+18,2019-03-14 10:46:56+00:00,['1106144675981873152'],"El 28 de Abril Arriba la Cumbia! estaremos abriendo el show del rebelde del acordeon.
Su compadre #carlitosnino (Col) junto a al compa' Russ Jones (UK).
Afinando guacharaca, discos y… https://t.co/pIex3wmlFu",abril arriba cumbia estaremos abriendo show del rebelde del acordeon compadre col junto compa' rus jones afinando guacharaca disco,abril arriba cumbia abriendo show del acordeon compadre col junto compa rus disco 
1.1061185576524064e+18,2019-03-14 09:03:09+00:00,['1106118557652406272'],"Meet the women dancing to save London’s Latin Village
(The Guardian… https://t.co/CTWl5XYmwq",meet woman dancing save london latin village guardian,meet woman london village guardian 
1.105806111213527e+18,2019-03-13 12:21:36+00:00,['1105806111213527040'],"Maradona: ""Los argentinos estamos orgullosos de Messi, pero Ronaldo es un animal"" https://t.co/FAdYVyRy9r",maradona los argentinos estamos orgullosos messi pero ronaldo animal,estamos orgullosos messi pero ronaldo animal 
1.1057857374490336e+18,2019-03-13 11:00:38+00:00,['1105785737449033728'],Ronnie being Ronnie last night... https://t.co/UjHfe1JCPZ,ronnie ronnie last night,ronnie ronnie night 
1.10576326760201e+18,2019-03-13 09:31:21+00:00,['1105763267602010112'],Ed Sheeran compra un bar de tapas españolas en Londres para transformarlo y los vecinos montan en cólera https://t.co/AiPT0apfhe,sheeran compra bar tapa espaolas londres para transformarlo los vecinos montan clera,sheeran compra bar tapa espaolas transformarlo los montan clera 
1.1056417025246822e+18,2019-03-13 01:28:18+00:00,['1105641702524682242'],"Yuli - The Carlos Acosta Story  + Q&amp;A Live from the Royal Opera House

Release date: 3 April. In cinemas 12 April @ Royal Opera House https://t.co/3lKYokKQIg",yuli carlos acosta story qampa live royal opera house release date april cinema april royal opera house,story royal opera house release date april cinema april royal opera house 
1.1056367565301228e+18,2019-03-13 01:08:39+00:00,['1105636756530122754'],"On Your Feet!

The story of Emilio &amp; Gloria Estefan

14 Jun - 31 Aug 2019 @ London Coliseum https://t.co/iRDqKNUX20",foot story emilio amp gloria estefan jun aug london coliseum,foot story emilio amp gloria estefan jun london coliseum 
1.1056021436025938e+18,2019-03-12 22:51:06+00:00,['1105602143602593794'],"BBC Two - Gardeners' World, 2018, Episode 25, Islington jungle https://t.co/OKncOUkXRT",bbc two gardeners' world episode islington jungle,bbc world episode islington jungle 
1.1055727056073196e+18,2019-03-12 20:54:08+00:00,['1105572705607319556'],"Neymar, Mbappe, Pogba, Hazard and Kante - how Real could line up under Zidane https://t.co/UrzOtakPSG",neymar mbappe pogba hazard kante real could line zidane,hazard kante line zidane 
1.1054114476879954e+18,2019-03-12 10:13:21+00:00,['1105411447687995392'],"16 March / 4pm: Patchwork stories of women's resistance with my lovely friend Jimena Pardo. Don't miss it! 
#patchwork #embroidery #bordandoporlamemoria #chile #latinamericapatchwork… https://t.co/3YvUTzVcSb",march patchwork story women's resistance lovely friend jimena pardo miss,march patchwork story resistance pardo miss 
1.105200619030266e+18,2019-03-11 20:15:35+00:00,['1105200619030265859'],Ed Sheeran compra un bar de tapas españolas en Londres para transformarlo y los vecinos montan en cólera https://t.co/eoHqdVvFvW,sheeran compra bar tapa espaolas londres para transformarlo los vecinos montan clera,sheeran compra bar tapa espaolas transformarlo los montan clera 
1.105182725139546e+18,2019-03-11 19:04:29+00:00,['1105182725139546112'],"Mientras pacientes mueren, chavistas celebran quinceañero durante apagón en Venezuela https://t.co/tACfFANTya",mientras pacientes mueren chavistas celebran quinceaero durante apagn venezuela,apagn venezuela 
1.1051678761961062e+18,2019-03-11 18:05:29+00:00,['1105167876196106240'],Once a merengue always a merengue - HE'S BACK https://t.co/OcIXuuvwFb,merengue always merengue he's back,merengue 
1.1051543155331482e+18,2019-03-11 17:11:36+00:00,['1105154315533148160'],'Fearless Girl' llega a Londres para promover el liderazgo de las mujeres | El Ibérico https://t.co/KYcwWdjNhr,'fearless girl' llega londres para promover liderazgo mujeres ibrico,girl 
1.1051038635966792e+18,2019-03-11 13:51:07+00:00,['1105103863596679169'],Inside Venezuela’s Showdown: Why U.S. Aid Can’t Get Through | Dispatches https://t.co/LWB2qoRdL1,inside venezuela showdown aid cant get dispatch,aid cant get dispatch 
1.105089956760961e+18,2019-03-11 12:55:51+00:00,['1105089956760961025'],11 Jugadores Históricos de la Selección de Brasil https://t.co/DfdB5TBswd,jugadores histricos seleccin brasil,brasil 
1.1050804543387524e+18,2019-03-11 12:18:06+00:00,['1105080454338752512'],"Me gustan las personas con olor a quiero, puedo y me lo merezco https://t.co/A6izU7sNP5",gustan persona con olor quiero puedo merezco,gustan persona con olor quiero puedo merezco 
1.1050698888408474e+18,2019-03-11 11:36:07+00:00,['1105069888840847361'],"Venezuela enters fourth day of blackout, Maduro blames U.S. https://t.co/2lbPftSwIq",venezuela enters fourth day blackout maduro blame,venezuela day maduro blame 
1.10506932052104e+18,2019-03-11 11:33:51+00:00,['1105069320521039872'],VENEZUELA SIN LUZ: días 3 y 4 | GLADYS SEARA https://t.co/dhTc0iBYOa,venezuela sin luz gladys seara,venezuela sin luz gladys seara 
1.1050599009447322e+18,2019-03-11 10:56:26+00:00,['1105059900944732160'],Sesame Street: John Leguizamo Is Captain Vegetable https://t.co/0V8MiKFHiK,sesame street john leguizamo captain vegetable,street captain 
1.1048696545924056e+18,2019-03-10 22:20:27+00:00,['1104869654592405506'],"La hamaca grande!
Orchids, Celebrate the colour of Colombia @ Kew Gardens
#hamaca
#lahamacagrande #sombrerovueltiao #escalona #kewgardens #orchids #colombianorchids #londonflowers #kew… https://t.co/lK7bTtIYHU",hamaca grande orchid celebrate colour colombia kew garden,hamaca grande orchid 
1.1048684754477138e+18,2019-03-10 22:15:46+00:00,['1104868475447713792'],"Orchids @ Kew Gardens.
Celebrate the colour of Colombia.
#kewgardens #orchids #colombianorchids #londonflowers #kew #Colombia @ Kew Gardens https://t.co/iaw7AK3Sn0",orchid kew garden celebrate colour colombia kew garden,colour colombia garden 
1.104867508128043e+18,2019-03-10 22:11:56+00:00,['1104867508128043008'],One hour queue on the last day to see Orchids from Colombia @ Kew Gardens. #Orchids #kewgardens #longqueue @ Kew Gardens https://t.co/bOAlLecxVU,one hour queue last day see orchid colombia kew garden kew garden,hour queue day garden 
1.1046977239813898e+18,2019-03-10 10:57:16+00:00,['1104697723981389825'],Thousands join rival protests on streets of Venezuela https://t.co/b3cdvltea2,thousand join rival protest street venezuela,join street 
1.1046692593456128e+18,2019-03-10 09:04:09+00:00,['1104669259345612800'],Por si quedaban dudas.... https://t.co/kiUxH88VIB,por quedaban dudas,quedaban dudas 
1.1045731585380476e+18,2019-03-10 02:42:17+00:00,['1104573158538047489'],"Radiating energy and positivity, La Yegros ‘The Queen Of New Cumbia’ returns with ‘Suelta’, her third album proper. An Argentine singer, brimming with flamboyant intensity, La Yegros'… https://t.co/c4BlokcrDU",radiating energy positivity yegros queen new cumbia return suelta third album proper argentine singer brimming flamboyant intensity yegros',energy positivity cumbia return album argentine singer intensity 
1.104506348874711e+18,2019-03-09 22:16:48+00:00,['1104506348874711046'],"Congratulations to Conjunto Sabroso, fronted by Luz Elena Caicedo from Cali and directed by Wilmer Sifontes. The only Colombian roots band representing us at Kew Gardens Orchids from… https://t.co/xjcBV4kw9Q",congratulation conjunto sabroso fronted luz elena caicedo cali directed wilmer sifontes colombian root band representing kew garden orchid,congratulation conjunto sabroso caicedo cali root band garden orchid 
1.104481266647384e+18,2019-03-09 20:37:08+00:00,['1104481266647384065'],Roma (2018) | Chaos scene https://t.co/M0Wv4lk9rb,rom chaos scene,rom chaos scene 
1.1044787017550316e+18,2019-03-09 20:26:57+00:00,['1104478701755031558'],Las mamás 😁😁😁😁😁👏👏 https://t.co/NibvIdwUzS,mam,mam 
1.1044716960383386e+18,2019-03-09 19:59:07+00:00,['1104471696038338567'],"Haven't seen ""Roma""? GO NOW https://t.co/IrSTvqS5jH",seen rom,rom 
1.1044679191388856e+18,2019-03-09 19:44:06+00:00,['1104467919138885632'],Alfonso Cuarón Kept Roma's Script a Secret from Cast and Crew During Filming https://t.co/7zXf1Sz6cj,alfonso cuarn kept roma's script secret cast crew filming,alfonso cuarn roma script cast crew filming 
1.104465179159552e+18,2019-03-09 19:33:13+00:00,['1104465179159552000'],5 inspirational women making a difference in London https://t.co/WbS1jUbFOx,inspirational woman making difference london,woman difference london 
1.1044565855549194e+18,2019-03-09 18:59:04+00:00,['1104456585554919424'],Lucie Blackman Trust on Twitter https://t.co/OCrH5da8Tj,lucie blackman trust twitter,lucie blackman trust twitter 
1.1044553231575204e+18,2019-03-09 18:54:03+00:00,['1104455323157520384'],AAAAnnnnnd good riddance ! https://t.co/QLQsrC8q9o,aaaannnnnd good riddance,riddance 
1.104425441421611e+18,2019-03-09 16:55:19+00:00,['1104425441421611010'],🇻🇪 Millions left without electricity in Venezuela | Al Jazeera English https://t.co/TBO1YkJV7C,million left without electricity venezuela jazeera english,electricity venezuela jazeera english 
1.104387845425451e+18,2019-03-09 14:25:55+00:00,['1104387845425451009'],Idris Elba in plea for young Londoners to 'put the knives down' https://t.co/0KUuwoodWO,idris elba plea young londoner 'put knife down',elba plea londoner 
1.1043870804389274e+18,2019-03-09 14:22:53+00:00,['1104387080438927360'],"After a long workin day and a wonderful community event nothing better than a tasty chilean empanada in London. latinomunchies
Thanks for bringing the amazing flavours of Chile to… https://t.co/wZBp178Ltc",long workin day wonderful community event nothing better tasty chilean empanada london latinomunchies thanks bringing amazing flavour chile,day community event nothing empanada london flavour chile 
1.1043844183015712e+18,2019-03-09 14:12:18+00:00,['1104384418301571077'],Arpilleras bordando por la memoria de chile in London. Dia Internacional de la mujer trabajadora #Arpilleras #VivalamujerUK #womenshistorymonth #Chile #London #ArpillerasUK… https://t.co/bEvbbD1KvB,arpilleras bordando por memoria chile london dia internacional mujer trabajadora,mujer trabajadora 
