id,created_at,edit_history_tweet_ids,text,clean_text
1.4715778687570944e+18,2021-12-16 20:27:59+00:00,['1471577868757094402'],@BeaconsCymru @CowbridgeMusic @Common_WealthHQ @Ffiwsar @nyaw_ccic Thanks for sharing @BeaconsCymru ❤️,thanks sharing
1.4715023355243028e+18,2021-12-16 15:27:50+00:00,['1471502335524302854'],Well worth a listen - new episode of Amplify from @Anthem_Cymru 👇🏻 https://t.co/bKvyfyD7xn,well worth listen new episode amplify
1.4711817535073198e+18,2021-12-15 18:13:57+00:00,['1471181753507319813'],Amazing plans from @GX_Wales for early January! Spread the news @TdhMrs @NHSmusicteam @LliswerryDrama @KatReesCreative https://t.co/fTe3v0kIkx,amazing plan early january spread news
1.471061973970264e+18,2021-12-15 10:18:00+00:00,['1471061973970264068'],Join us at Casnewydd Community Christmas hosted by @urbancircle on Saturday 18th December for a Christmas #SonicSingalong with Clary @1_forget  &amp; Carol 12pm &amp; 1.30pm @RiverfrontArts https://t.co/ABiBvCReHO,join casnewydd community christmas hosted saturday december christmas clary amp carol amp
1.470874585352581e+18,2021-12-14 21:53:23+00:00,['1470874585352581132'],Join us at Casnewydd Community Christmas hosted by @urbancircle on Saturday 18th December for a Christmas #SonicSingalong with Clary &amp; Carol 12pm &amp; 1.30pm @RiverfrontArts 🎶🎤 https://t.co/DE3lZ6LSPg,join casnewydd community christmas hosted saturday december christmas clary amp carol amp
1.4706735670712238e+18,2021-12-14 08:34:36+00:00,['1470673567071223811'],Great to see more opera being commissioned for children 👇🏻❤️ https://t.co/gBFP67BGeW,great see opera commissioned child
1.4704118762113065e+18,2021-12-13 15:14:44+00:00,['1470411876211306512'],📢We'll be joining @urbancircle &amp; @LPUKOnline at 'Casnewydd Community Christmas' @RiverfrontArts this weekend for a bit of a Christmas #SonicSingalong with @1_forget 🎄😉 https://t.co/DE3lZ6LSPg,we'll joining amp 'casnewydd community christmas' weekend bit christmas
1.470410808148562e+18,2021-12-13 15:10:30+00:00,['1470410808148561923'],@PaulMorriswales we'll be at @RiverfrontArts &amp; are looking for local young musicians to undertake paid music performance opportunities with us in the New Year. Please let your students know and tell them to come and say hi!! More coming soon on our website!,we'll amp looking local young musician undertake paid music performance opportunity new year please let student know tell come say coming soon website
1.4699932093046948e+18,2021-12-12 11:31:06+00:00,['1469993209304694785'],@dan_allenmusic 🤣,
1.4698089122831852e+18,2021-12-11 23:18:47+00:00,['1469808912283185152'],"Wonderful to see our Young Producer @KatReesCreative bringing Xmas sparkle to the @RiverfrontArts foyer today in her Sugar Plum Fairy costume!! Looking good, Kat ❤️ https://t.co/lh8fHJRnm5",wonderful see young producer bringing xmas sparkle foyer today sugar plum fairy costume looking good kat
1.469808099745837e+18,2021-12-11 23:15:33+00:00,['1469808099745837064'],@dan_allenmusic Ambitious!! We applaud you @dan_allenmusic 👏🏻👏🏻👏🏻,ambitious applaud
1.4697036874425098e+18,2021-12-11 16:20:39+00:00,['1469703687442509834'],Great to spend the afternoon with @foxxgloveuk talking #songwriting More sessions coming up in January! Check out her latest release High on Hope right here 👉🏻❤️ https://t.co/v79P5RAdrt,great spend afternoon talking session coming january check latest release high hope right
1.4696468885216788e+18,2021-12-11 12:34:57+00:00,['1469646888521678848'],Counting down to our #songwriting workshop with @foxxgloveuk at 2pm today. Still time to book if you want to join 👇🏻👍🏻 https://t.co/wGVYRd0bws,counting workshop today still time book want join
1.469634692278329e+18,2021-12-11 11:46:29+00:00,['1469634692278329349'],Penblwydd hapus i ti @reseonetwork 25 years young &amp; still inspiring new practice across Europe &amp; beyond. Thank you Omar for the beautiful song!! We are proud to be a member ❤️ #network #sharingpractice @omar_shahryar https://t.co/4baKa65PHJ,penblwydd hapus year young amp still inspiring new practice across europe amp beyond thank omar beautiful song proud member
1.4693780854264996e+18,2021-12-10 18:46:49+00:00,['1469378085426499585'],Thanks for the shout out @wearefio you rock ❤️ https://t.co/PZ6S3IwIzB,thanks shout rock
1.469266854627754e+18,2021-12-10 11:24:50+00:00,['1469266854627753985'],@ArtsActive So sorry to hear that @ArtsActive Hope everyone is doing ok ❤️,sorry hear hope everyone
1.4692663635418644e+18,2021-12-10 11:22:53+00:00,['1469266363541864451'],Yn digwydd yfory gyda @foxxgloveuk 👇🏻❤️ Peidiwch ag anghofio archebu! #YsgrifennuCaneuon #cymru https://t.co/GNBBf6mAKD,digwydd yfory gyda peidiwch anghofio archebu
1.4692658857267487e+18,2021-12-10 11:20:59+00:00,['1469265885726748674'],Taking place tomorrow with @foxxgloveuk 👇🏻❤️Don't forget to book in! #songwriting #workshops https://t.co/wGVYRd0bws,taking place tomorrow forget book
1.4687169431087104e+18,2021-12-08 22:59:41+00:00,['1468716943108710401'],📢Yn galw gyfansoddwyr caneuon! Peidiwch â cholli ein 2il weithdy ysgrifennu caneuon ar gyfer pobl 14 - 26 oed gyda @foxxgloveuk ddydd Sadwrn 11 Rhagfyr  2pm - 4pm yn canolbwyntio ar ysgrifennu geiriau - awgrymiadau da a syniadau newydd !! https://t.co/WYvKXkHxLE https://t.co/DM1KugeAWv,galw gyfansoddwyr caneuon peidiwch cholli ein weithdy ysgrifennu caneuon gyfer pobl oed gyda ddydd sadwrn rhagfyr canolbwyntio ysgrifennu geiriau awgrymiadau syniadau newydd
