,Topic,Count,Name,details
0,-1,88786,-1_nurse_people_time_year,"['nurse', 'people', 'time', 'year', 'health', 'care', 'today', 'patient', 'week', 'work']"
1,0,4766,0_thank_follow_thanks_photo,"['thank', 'follow', 'thanks', 'photo', 'enjoy', 'hour', 'brilliant', 'mine', 'sorry', 'picture']"
2,1,4201,1_morning_weekend_chris_thanks,"['morning', 'weekend', 'chris', 'thanks', 'idea', 'everyone', 'scotland', 'chat', 'bonnie', 'evening']"
3,2,3511,2_card_christmas_baby_charity,"['card', 'christmas', 'baby', 'charity', 'staff', 'gift', 'unit', 'pocket', 'donation', 'film']"
4,3,2374,3_congratulation_hope_luck_weather,"['congratulation', 'hope', 'luck', 'weather', 'jackie', 'mind', 'morning', 'award', 'achievement', 'winner']"
5,4,2221,4_time_work_game_money,"['time', 'work', 'game', 'money', 'wedding', 'lady', 'throat', 'issue', 'club', 'dress']"
