,Topic,Count,Name,details
18,17,638,17_mask_wearing_wear_mandate,"[('mask', 0.06570316218839635), ('wearing', 0.027464004772361418), ('wear', 0.01878289937967195), ('mandate', 0.012883570586562516), ('nose', 0.009474253575952137), ('face', 0.00784533914634956), ('ffp', 0.006370249514619792), ('highrisk', 0.0061674210511855725), ('visor', 0.006100551893647333), ('masked', 0.005693004047248221)]"
19,18,629,18_review_book_library_novel,"[('review', 0.01767212945773544), ('book', 0.017543615743790285), ('library', 0.013465281897813437), ('novel', 0.011532115193071974), ('reading', 0.008283371008238954), ('author', 0.008178268492541775), ('via', 0.007279379200408012), ('bookshop', 0.0065804427048911426), ('pile', 0.0055972229921742505), ('tbr', 0.005464875116562021)]"
20,19,623,19_fight_nnu_union_pandemic,"[('fight', 0.008930426615981335), ('nnu', 0.008501914917888763), ('union', 0.008008490209069208), ('pandemic', 0.007445585642086871), ('unsafe', 0.006893504796035505), ('protection', 0.006427681182804591), ('ratio', 0.006416939043301029), ('fighting', 0.006404932769620885), ('asheville', 0.0059067409233101486), ('safety', 0.005900027108245021)]"
21,20,585,20_scorpio_may_might_could,"[('scorpio', 0.1518431341031779), ('may', 0.0136023576277116), ('might', 0.011559648036388313), ('could', 0.010023773888467171), ('relationship', 0.0076450800260820274), ('toda', 0.006972303397368689), ('energy', 0.0058799296419954385), ('today', 0.005855800474970521), ('close', 0.005616729696272158), ('tension', 0.005279054649530692)]"
22,21,565,21_tweeted_time_newstweets_lizzielizzy,"[('tweeted', 0.47639363446211136), ('time', 0.04668499022169126), ('newstweets', 0.005749643233814829), ('lizzielizzy', 0.005749643233814829), ('loach', 0.005749643233814829), ('catalog', 0.0051813029196738376), ('hyped', 0.0051813029196738376), ('bemused', 0.004613706615873244), ('yey', 0.0034844178667113607), ('frequency', 0.003435379966243875)]"
23,22,551,22_dog_puppy_pup_pet,"[('dog', 0.06632285626703803), ('puppy', 0.023545882593003154), ('pup', 0.018007988848146465), ('pet', 0.01600253340897896), ('labrador', 0.00896050490944315), ('barking', 0.008395811284495756), ('doggy', 0.008145913554039227), ('bark', 0.005879136113555087), ('spaniel', 0.005787645976141102), ('schnauzer', 0.005677505632662728)]"
24,23,531,23_international_nurse_celebrate_celebrating,"[('international', 0.01315391733993467), ('nurse', 0.006828095752187995), ('celebrate', 0.006624686405655265), ('celebrating', 0.006173834634143955), ('happy', 0.005985955103157891), ('celebration', 0.005709401599193564), ('day', 0.004360055472260679), ('inspiring', 0.004178517023050656), ('colleague', 0.0041744780979286016), ('nursing', 0.004071698429537166)]"
25,24,506,24_episode_netflix_series_watched,"[('episode', 0.05334533067120813), ('netflix', 0.03203730275680573), ('series', 0.029695487085832133), ('watched', 0.020665062888864685), ('binge', 0.01978408739228979), ('show', 0.015397164492388671), ('season', 0.01407607902992426), ('binged', 0.013376984164997429), ('rewatch', 0.011665259579821572), ('rewatching', 0.010031653556249642)]"
26,25,504,25_daily_story_news_via,"[('daily', 0.19624892152244933), ('story', 0.13006215834145762), ('news', 0.10167313493384833), ('via', 0.09060652728971337), ('msnbc', 0.003448087375079499), ('newsletter', 0.002696494422739467), ('cnn', 0.001914019630799356), ('newspaper', 0.0017125349201370182), ('monthly', 0.0013422297915336725), ('refugee', 0.0012708312291287627)]"
27,26,499,26_love_loving_devotee_liking,"[('love', 0.173495348352188), ('loving', 0.03054419630039697), ('devotee', 0.012779316530632228), ('liking', 0.012594412377589025), ('shez', 0.011516107584238567), ('ncuti', 0.011516107584238567), ('gatwa', 0.011516107584238567), ('apheresis', 0.009238312104063808), ('sprung', 0.008592388493350952), ('bounty', 0.008420109528299288)]"
28,27,481,27_congratulation_everbody_congratulationspapa_rhinnon,"[('congratulation', 0.385168450183685), ('everbody', 0.013493382386871795), ('congratulationspapa', 0.013493382386871795), ('rhinnon', 0.013493382386871795), ('elly', 0.011380095763092004), ('roz', 0.01082754269389906), ('downunder', 0.009273771271620442), ('rick', 0.00889059734394607), ('hala', 0.008062221192456724), ('roger', 0.00795381510823321)]"
29,28,453,28_ukraine_russian_putin_russia,"[('ukraine', 0.060542284288125914), ('russian', 0.047792103492555915), ('putin', 0.04471439657627429), ('russia', 0.044421880678547104), ('ukrainian', 0.022135874803075137), ('war', 0.020665509290896028), ('nato', 0.014169558987775194), ('invasion', 0.012993172781775269), ('putins', 0.012882628606805351), ('vladimir', 0.012258572052888503)]"
30,29,428,29_tory_labour_party_voter,"[('tory', 0.07882317168540462), ('labour', 0.015780795752491843), ('party', 0.010936830324571574), ('voter', 0.010143316612993222), ('vote', 0.008909080871650887), ('whip', 0.007956631291842408), ('backbone', 0.006860855067025851), ('backbencher', 0.0063644414089765655), ('idiot', 0.005449202017464567), ('election', 0.004659916962879019)]"
31,30,420,30_gyud_ang_lng_pud,"[('gyud', 0.05803043308009441), ('ang', 0.05121785977563379), ('lng', 0.0358225730545124), ('pud', 0.030827614754076513), ('kay', 0.029620615229414095), ('mga', 0.026270033988857886), ('pag', 0.02509005749950715), ('pero', 0.02479701686741247), ('akong', 0.02374829335251522), ('mag', 0.023278528697783733)]"
32,31,418,31_rnao_rnaos_ceo_ontarios,"[('rnao', 0.041209153820203626), ('rnaos', 0.04018339678327101), ('ceo', 0.03079291629377916), ('ontarios', 0.016353861862814408), ('president', 0.0145472348929151), ('ontario', 0.014476006294594525), ('host', 0.01284656913935296), ('chapter', 0.010902662772383883), ('comparative', 0.009541239430434988), ('discus', 0.009165950494956204)]"
33,32,409,32_pay_rise_northern_ireland,"[('pay', 0.015461144425804471), ('rise', 0.011175831697223087), ('northern', 0.008518646663799801), ('ireland', 0.007940351333792828), ('retention', 0.007183840820322254), ('salary', 0.006758421373905716), ('shortage', 0.00675559277401422), ('director', 0.006235255371078214), ('paid', 0.0060018355411012875), ('staffing', 0.005902683741888348)]"
34,33,406,33_coming_yes_please_cornacuteed,"[('coming', 0.08959957153081528), ('yes', 0.052883926129237833), ('please', 0.05159816914376699), ('cornacuteed', 0.04664440724489307), ('meeker', 0.046043589542922085), ('say', 0.037542215512550256), ('no', 0.002389060392708999), ('possibly', 0.001261887024899012), ('min', 0.0009473011701464732), ('worry', 0.0009395414314980443)]"
35,34,400,34_weekend_sunday_monday_friday,"[('weekend', 0.0719949240101118), ('sunday', 0.03677695476067676), ('monday', 0.03471226462267218), ('friday', 0.026307727557545475), ('saturday', 0.023317348799105873), ('tuesday', 0.017229917906986414), ('wednesday', 0.014647434033311415), ('thursday', 0.014010280030440555), ('folk', 0.006252187679960715), ('night', 0.005622815015916546)]"
36,35,393,35_photo_pic_picture_selfies,"[('photo', 0.06028815566495258), ('pic', 0.05354187473883087), ('picture', 0.02973897282166953), ('selfies', 0.021783799689567472), ('selfie', 0.016200216184109807), ('image', 0.013903812596442182), ('profile', 0.013500678379250635), ('photograph', 0.010974428765705698), ('photographer', 0.010891899844783736), ('send', 0.010000371279266038)]"
37,36,388,36_disability_learning_disabled_intellectual,"[('disability', 0.06913431648502714), ('learning', 0.0332118324091706), ('disabled', 0.009509524030449891), ('intellectual', 0.008909636001265193), ('epilepsy', 0.007357311257398696), ('adjustment', 0.006338121969038451), ('symposium', 0.005895686411966915), ('profound', 0.005568467539400138), ('promotes', 0.005352054136760568), ('recognises', 0.004984494556639526)]"
38,37,383,37_mile_marathon_ytd_triathlon,"[('mile', 0.09703261598276015), ('marathon', 0.03199354383772397), ('ytd', 0.02925496347756252), ('triathlon', 0.018210348799286128), ('running', 0.017100080752191573), ('mileage', 0.015271791870671498), ('cycling', 0.014456603787906993), ('walking', 0.0133466704769703), ('run', 0.01182374739921312), ('parkrun', 0.011094751990031942)]"
39,38,363,38_yes_bro_man_,"[('yes', 0.21649220374193437), ('bro', 0.008588011705261944), ('man', 0.0020285353950690145), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
40,39,353,39_beach_flyball_weekly_another,"[('beach', 0.04935601061299522), ('flyball', 0.04551508868899357), ('weekly', 0.04307287976436501), ('another', 0.036229992370370834), ('evening', 0.03328744155982191), ('walk', 0.030228602552111784), ('social', 0.025561839775969188), ('team', 0.01834909969085676), ('week', 0.015113338622059717), ('time', 0.008340273011488698)]"
41,40,347,40_song_album_playlist_lyric,"[('song', 0.06754881108100917), ('album', 0.05050996192909472), ('playlist', 0.023556934579853275), ('lyric', 0.023556934579853275), ('music', 0.023165699876306765), ('soundtrack', 0.01890976789241369), ('singing', 0.014161436281043868), ('track', 0.011434223607682906), ('sing', 0.011366989658220389), ('spotify', 0.00875057845865507)]"
42,41,334,41_birthday_happy_kav_spexy,"[('birthday', 0.26688661194495666), ('happy', 0.13921083946319088), ('kav', 0.009919356173918502), ('spexy', 0.009919356173918502), ('larbados', 0.009919356173918502), ('kyan', 0.009919356173918502), ('saoirse', 0.009919356173918502), ('queeeeeen', 0.009919356173918502), ('spidey', 0.009919356173918502), ('happyth', 0.009919356173918502)]"
