,Topic,Count,Name,details
16,15,403,15_person person person_person person_person_person person see,"[('person person person', 0.2854959946478604), ('person person', 0.2790746006151733), ('person', 0.11471110572520443), ('person person see', 0.005390974409294018), ('lagos person', 0.005390974409294018), ('male person person', 0.005390974409294018), ('male person', 0.005390974409294018), ('lagos person person', 0.005390974409294018), ('help person person', 0.005390974409294018), ('float person person', 0.005390974409294018)]"
17,16,360,16_cancer_breast_cancer control_breast cancer,"[('cancer', 0.03286168362625708), ('breast', 0.010629265613603127), ('cancer control', 0.01012914617808121), ('breast cancer', 0.009671867365660367), ('cancer research', 0.008755550121160109), ('cancer care', 0.008239227174650025), ('oncology', 0.007644394041934173), ('cancer control article', 0.0066973110454921275), ('control article', 0.00641800556581991), ('cancer nursing', 0.005562271490377255)]"
18,17,350,17_look look look_look look_look_baby look look,"[('look look look', 0.3325660880267872), ('look look', 0.31598808401747824), ('look', 0.07097708017604905), ('baby look look', 0.010968366675134948), ('post look look', 0.010968366675134948), ('look look baby', 0.010968366675134948), ('look look post', 0.010968366675134948), ('look baby look', 0.010968366675134948), ('look post look', 0.010968366675134948), ('look baby', 0.009689712263698757)]"
19,18,348,18_amp amp_amp_work amp_thing amp,"[('amp amp', 0.012179911127584406), ('amp', 0.008895403139150722), ('work amp', 0.005650791123767511), ('thing amp', 0.004373557918861467), ('night amp', 0.0040149792537186434), ('amp today', 0.003957041056277371), ('lot amp', 0.0038866812422635676), ('amp day', 0.003776703995032699), ('today amp', 0.003659360494265463), ('amp dont', 0.0034739655895223965)]"
20,19,341,19_birthday birthday birthday_birthday birthday_birthday_birthday birthday kind,"[('birthday birthday birthday', 0.32821066063089904), ('birthday birthday', 0.3152951438418212), ('birthday', 0.1393694756198991), ('birthday birthday kind', 0.010729923921327668), ('birthday birthday max', 0.010729923921327668), ('max birthday', 0.010729923921327668), ('max birthday birthday', 0.010729923921327668), ('birthday max birthday', 0.010729923921327668), ('birthday max', 0.009997809219757913), ('birthday kind', 0.009997809219757913)]"
21,20,334,20_hope hope hope_hope hope_hope_hope hope right,"[('hope hope hope', 0.336836162148641), ('hope hope', 0.32471506192229915), ('hope', 0.07551241490370246), ('hope hope right', 0.015372676014780968), ('hope right hope', 0.015372676014780968), ('right hope hope', 0.015372676014780968), ('hope right', 0.01457505465848838), ('right hope', 0.013453053433248133), ('hope hoping', 0.01099891922854758), ('hoping hope', 0.01099891922854758)]"
22,21,310,21_wow wow wow_wow wow_wow_yeah wow wow,"[('wow wow wow', 0.3722148926963911), ('wow wow', 0.36837766614741363), ('wow', 0.20804295498861775), ('yeah wow wow', 0.0069997096298452495), ('holy wow', 0.0069997096298452495), ('total wow wow', 0.0069997096298452495), ('holy holy', 0.0069997096298452495), ('doe wow wow', 0.0069997096298452495), ('doe wow', 0.0069997096298452495), ('wow yeah wow', 0.0069997096298452495)]"
23,22,295,22_work work work_work work_work_lot work work,"[('work work work', 0.32027253365048597), ('work work', 0.290307058252796), ('work', 0.032962500366865724), ('lot work work', 0.011751821437644586), ('work try work', 0.011751821437644586), ('hear work work', 0.011751821437644586), ('work way work', 0.011751821437644586), ('work hear work', 0.011751821437644586), ('work work hear', 0.011751821437644586), ('work work lot', 0.011751821437644586)]"
24,23,294,23_gyud_ang_pud_pero,"[('gyud', 0.02796302654916136), ('ang', 0.019923150411719295), ('pud', 0.016564473339239334), ('pero', 0.014775308581415963), ('lng', 0.014338541652757025), ('mag', 0.01106116070355542), ('kay', 0.010527868019617078), ('kaayo', 0.010335229114991863), ('daghan', 0.009071377644978137), ('pag', 0.00882476309239308)]"
25,24,280,24_rnao_rnao ceo_ceo_rnao president,"[('rnao', 0.03470662237214749), ('rnao ceo', 0.01728455317984798), ('ceo', 0.013333337612304777), ('rnao president', 0.012802093833673056), ('rnao report', 0.008432264312238823), ('rnaos', 0.008279124092294825), ('president', 0.008099815567125393), ('story rnao', 0.00674333562507213), ('rnao member', 0.0066302440162531754), ('advocacy effort', 0.006454117529641954)]"
26,25,274,25_beautiful beautiful_beautiful beautiful beautiful_beautiful_pretty beautiful,"[('beautiful beautiful', 0.4207722815167907), ('beautiful beautiful beautiful', 0.41405330314638683), ('beautiful', 0.32759812924216974), ('pretty beautiful', 0.019851765069447365), ('pretty beautiful beautiful', 0.019851765069447365), ('beautiful pretty beautiful', 0.014203640298735902), ('beautiful pretty', 0.014203640298735902), ('beautiful beautiful pretty', 0.014203640298735902), ('pretty', 0.012774979669096909), ('stunning beautiful', 0.007931325659716739)]"
27,26,269,26_year year year_year year_year_yearold year year,"[('year year year', 0.35458342267147985), ('year year', 0.2715617642221795), ('year', 0.034771143296687596), ('yearold year year', 0.007449015315544775), ('xxx year', 0.007449015315544775), ('year beat year', 0.007449015315544775), ('year damgard year', 0.007449015315544775), ('year defo', 0.007449015315544775), ('yearold year', 0.007449015315544775), ('wtf year year', 0.007449015315544775)]"
28,27,263,27_hair_hair hair_hairdresser_salon,"[('hair', 0.07983032639786115), ('hair hair', 0.030324080751584905), ('hairdresser', 0.0221259751113702), ('salon', 0.016673447643234463), ('haircut', 0.013122967813963961), ('hair day', 0.009929920430472213), ('barber', 0.009334614378767724), ('shampoo', 0.009334614378767724), ('wig', 0.009095415062999459), ('blonde', 0.008201470403304755)]"
29,28,263,28_news news_news news news_news_news tonight,"[('news news', 0.25738412163324803), ('news news news', 0.22679540168539242), ('news', 0.06990364916719523), ('news tonight', 0.013397420572449881), ('news gosh', 0.010557786104407971), ('news get news', 0.010557786104407971), ('ace news', 0.010557786104407971), ('gosh news', 0.010557786104407971), ('xxx news news', 0.010557786104407971), ('get news news', 0.010557786104407971)]"
30,29,258,29_hey hey_hey hey hey_hey_baby hey,"[('hey hey', 0.2846058352841875), ('hey hey hey', 0.24142398764022183), ('hey', 0.19745406889528674), ('baby hey', 0.020047680545583632), ('hey baby', 0.015858593934788414), ('hey baby hey', 0.015858593934788414), ('hey drowl hey', 0.011346586215656842), ('drowl hey', 0.011346586215656842), ('hey dany', 0.011346586215656842), ('hey dany hey', 0.011346586215656842)]"
