,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,profile_banner_url,year_created
376,204035064.0,204035064,Becky Allpress 🏳️‍⚧️,BeckyAllpress,Parent. maths teacher @WorleCSA Proudly transgender and supporting LGBT students however I can. tweeting about life as a trans teacher and some other stuff,12,8827.0,735.5833333333334,"Weston-super-Mare, England",,{'description': {'urls': []}},False,818.0,336.0,33.0,Sun Oct 17 19:35:33 +0000 2010,14412.0,,,True,False,,False,False,False,B2DFDA,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/1571929959203045379/5Gyj8Vh1_normal.jpg,https://pbs.twimg.com/profile_images/1571929959203045379/5Gyj8Vh1_normal.jpg,93A644,EEEEEE,FFFFFF,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/204035064/1663612294,2010
457,8.824974242998968e+17,882497424299896834,Harish Vijayan,MrHVijayan,English teacher.,5,54.0,10.8,London,,{'description': {'urls': []}},False,25.0,264.0,1.0,Wed Jul 05 07:12:36 +0000 2017,284.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1253288872626343936/YInX1wcX_normal.jpg,https://pbs.twimg.com/profile_images/1253288872626343936/YInX1wcX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],,2017
507,2772854503.0,2772854503,Hannah Duffey,HannahDuffey2,"Headteacher of an amazing Special School, for pupils with complex needs. Passionate about my work. Love my family. Obsessed with football and LUFC 🤍💙💛",8,2551.0,318.875,Leeds,,{'description': {'urls': []}},False,1099.0,1914.0,5.0,Wed Aug 27 09:39:26 +0000 2014,11958.0,,,True,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1559216950181564417/F-Z7DJu0_normal.jpg,https://pbs.twimg.com/profile_images/1559216950181564417/F-Z7DJu0_normal.jpg,009EB3,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/2772854503/1649684323,2014
520,3472457897.0,3472457897,Melissa Callender,CallenderMb,Primary school teacher. Mum. Reader,7,74.0,10.571428571428571,"Widnes, England",,{'description': {'urls': []}},False,23.0,205.0,0.0,Fri Aug 28 19:05:29 +0000 2015,507.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1260979286363770880/_k5xRG7b_normal.jpg,https://pbs.twimg.com/profile_images/1260979286363770880/_k5xRG7b_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],,2015
536,8.796995210176963e+17,879699521017696256,Mr Baxter,MrBaxterEnglish,"English teacher, KS3 co-ord, New to English co-ord. Into pedagogy, climbing, punch-kickery, and Oxford commas.",5,429.0,85.8,Kirklees,,{'description': {'urls': []}},False,170.0,132.0,0.0,Tue Jun 27 13:54:44 +0000 2017,363.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/879701543536275457/zkLQ9qg4_normal.jpg,https://pbs.twimg.com/profile_images/879701543536275457/zkLQ9qg4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],,2017
552,41820129.0,41820129,drea,andreawalko,"mother, partner, daughter, teacher, feminist, pacifist. Lover of reading, singing, coffee, baking swimming and books.",13,950.0,73.07692307692308,,,{'description': {'urls': []}},False,233.0,452.0,9.0,Fri May 22 14:20:24 +0000 2009,93.0,,,False,False,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/1498251182/Andrea_Walko_pic_normal.jpg,https://pbs.twimg.com/profile_images/1498251182/Andrea_Walko_pic_normal.jpg,0099CC,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/41820129/1400416838,2009
595,240719187.0,240719187,Karl Malcolm,Mr_H_English5,"English teacher, WJEC examiner, ITT mentor, husband, dad, crossfitter, drummer, Wrexham AFC season tkt holder, and amateur, sports guru 🤔😂Opinions my own.",11,525.0,47.72727272727273,"Wales, United Kingdom",,{'description': {'urls': []}},False,1144.0,2506.0,1.0,Thu Jan 20 15:47:14 +0000 2011,5610.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1401627809336995843/I4mWIjeQ_normal.jpg,https://pbs.twimg.com/profile_images/1401627809336995843/I4mWIjeQ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/240719187/1610717097,2011
614,58211839.0,58211839,Tasha Laflin,TashaaEm,25. primary school teacher. Blonde. Speedway - #ipswichwitches #mildenhallfentigers,13,16718.0,1286.0,Ipswich,https://t.co/K13UVorhaf,"{'url': {'urls': [{'url': 'https://t.co/K13UVorhaf', 'expanded_url': 'http://www.facebook.com/tasha.laflin', 'display_url': 'facebook.com/tasha.laflin', 'indices': [0, 23]}]}, 'description': {'urls': []}}",True,853.0,922.0,9.0,Sun Jul 19 14:54:32 +0000 2009,2073.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1236580509066629123/hPnTzovx_normal.jpg,https://pbs.twimg.com/profile_images/1236580509066629123/hPnTzovx_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/58211839/1554409750,2009
663,45303612.0,45303612,MrsB,lottierose3101,"TF Ambassador 2018, Year 4 teacher, SEMH lead, SENCO, Mother to 3 boys #whoateallthefood,🍞🍕🥞 #resucechickens🐓🐓🐓🐓🐓, #borderterrier🐕",13,275.0,21.153846153846153,Hazel Grove,,{'description': {'urls': []}},False,92.0,233.0,1.0,Sun Jun 07 07:40:15 +0000 2009,1449.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1218905916608786434/JU-opS1k_normal.jpg,https://pbs.twimg.com/profile_images/1218905916608786434/JU-opS1k_normal.jpg,F5ABB5,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/45303612/1579444982,2009
682,1.0343912346961756e+18,1034391234696175616,Son of a Teacherman,papadontteach,"English teacher, dad, sometime musician. Mostly here for left wing politics and thoughts on education/pedagogy. Son of a teacherwoman too, grandson of yet more!",4,9732.0,2433.0,"North West, England",,{'description': {'urls': []}},False,524.0,825.0,1.0,Tue Aug 28 10:44:23 +0000 2018,27635.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1573621131151564801/20e-VjQm_normal.jpg,https://pbs.twimg.com/profile_images/1573621131151564801/20e-VjQm_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/1034391234696175616/1535454279,2018
685,8.405508181306245e+17,840550818130624512,Lauren Bailey,MissBaileyUK,"Primary school teacher 📚
Champion for diversity and inclusivity ❤
Learning to be a better ally for LGBTQ+🌈
Believer that we should all be actively antiracist",5,753.0,150.6,"England, United Kingdom",,{'description': {'urls': []}},False,1238.0,717.0,8.0,Sat Mar 11 13:11:46 +0000 2017,3979.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1127098033244602368/pnUyQEP8_normal.jpg,https://pbs.twimg.com/profile_images/1127098033244602368/pnUyQEP8_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],https://pbs.twimg.com/profile_banners/840550818130624512/1505058850,2017
