,Topic,Count,Name,details
19,18,606,18_strike_striker_gmb_picket,"[('strike', 0.04583171668283988), ('striker', 0.030328579939358724), ('gmb', 0.02888323831783951), ('picket', 0.027344571484544108), ('mitie', 0.024629432840706483), ('union', 0.023593023116356297), ('solidarity', 0.023472186181509456), ('striking', 0.018922906092884096), ('ballot', 0.01858611723812773), ('protest', 0.0143425272965515)]"
20,19,600,19_neonatal_unit_baby_donation,"[('neonatal', 0.05100168045347358), ('unit', 0.021798501409887743), ('baby', 0.019197997171905498), ('donation', 0.01104708054444733), ('george', 0.01023206477051067), ('fund', 0.009983185858482334), ('nnu', 0.009753542123018316), ('graduate', 0.009511424970019647), ('maquet', 0.009043807611074615), ('charity', 0.00897895640985833)]"
21,20,579,20_scorpio_may_might_could,"[('scorpio', 0.15377849673899935), ('may', 0.014078222103211519), ('might', 0.011727389992309413), ('could', 0.010312774872383312), ('astrology', 0.008721143004275308), ('relationship', 0.007137201066577506), ('energy', 0.006331845318649545), ('today', 0.006012609613675041), ('toda', 0.005798586780516075), ('li', 0.005529271506016008)]"
22,21,566,21_tweeted_time_loach_catalog,"[('tweeted', 0.49096675074098106), ('time', 0.04914949311175041), ('loach', 0.0057643545852330115), ('catalog', 0.0051992199605931525), ('logan', 0.004305186852546663), ('tm', 0.0041800463845564455), ('frequency', 0.0034626529419672066), ('fart', 0.0034626529419672066), ('requesting', 0.0032929135851708148), ('messaged', 0.0031220016582316885)]"
23,22,525,22_sa_na_gyud_ang,"[('sa', 0.05101924268927478), ('na', 0.05038387912327433), ('gyud', 0.04478716036958597), ('ang', 0.0401508560270626), ('ko', 0.040107108130033015), ('ka', 0.030725408403283635), ('kay', 0.025233410468512907), ('lng', 0.024453442197713435), ('pud', 0.023023999008148926), ('mga', 0.02282072258127365)]"
24,23,509,23_dog_puppy_pet_pup,"[('dog', 0.06964773350691224), ('puppy', 0.030334285232217), ('pet', 0.017721658714920836), ('pup', 0.016208316821958828), ('barking', 0.008974921229809208), ('doggy', 0.007830451627349966), ('labrador', 0.007830451627349966), ('spaniel', 0.00706346200057848), ('collie', 0.006214267986749568), ('therapy', 0.006111605304871605)]"
25,24,506,24_daily_story_news_via,"[('daily', 0.20156639941401197), ('story', 0.13427706716252003), ('news', 0.10585970987569339), ('via', 0.09387259133729449), ('reporter', 0.0052360076052608085), ('newsstand', 0.0034311634435910776), ('fleeing', 0.001916682353738309), ('publish', 0.0016665903691638095), ('war', 0.0013826847953187827), ('legacy', 0.0013116043300691273)]"
26,25,475,25_episode_netflix_series_binge,"[('episode', 0.05951083313341195), ('netflix', 0.031377657156687444), ('series', 0.031198638323271917), ('binge', 0.02135388056322798), ('watched', 0.01909544325391168), ('show', 0.015488606917257853), ('binged', 0.014371848913467569), ('season', 0.013089317932961744), ('rewatching', 0.011871079446083212), ('rewatch', 0.011400416600568035)]"
27,26,466,26_gps_gp_breaking_exclusive,"[('gps', 0.06364176359584303), ('gp', 0.03378287933831561), ('breaking', 0.017753381875009917), ('exclusive', 0.014928680622804601), ('appointment', 0.010580100827494724), ('lmc', 0.009228447495551904), ('referral', 0.008656362711001092), ('practice', 0.008211114715734859), ('lmcs', 0.00812863924300522), ('access', 0.00708173468452167)]"
28,27,462,27_ukraine_russian_putin_russia,"[('ukraine', 0.059998679639715544), ('russian', 0.04683714509816741), ('putin', 0.045540136454245095), ('russia', 0.04351282295138935), ('ukrainian', 0.021006413875969267), ('war', 0.019967082951039248), ('nato', 0.013633446722521715), ('invasion', 0.012525455928214926), ('putins', 0.012382952411536755), ('vladimir', 0.011780909094163818)]"
