,Topic,Count,Name,details
18,17,316,17_wordle_ardderchog_magnificent_arghhhh,"[('wordle', 1.1019208278776726), ('ardderchog', 0.06769433875566137), ('magnificent', 0.021125559103457866), ('arghhhh', 0.017475731642464652), ('whew', 0.017475731642464652), ('leaveholiday', 0.017475731642464652), ('ltsmuggt', 0.017475731642464652), ('arghhhhh', 0.017475731642464652), ('octordle', 0.017475731642464652), ('newsalso', 0.017475731642464652)]"
19,18,275,18_gps_workload_gp_practice,"[('gps', 0.07008033377244598), ('workload', 0.019416656970186574), ('gp', 0.016083537478366994), ('practice', 0.016024484321914362), ('general', 0.014987261068702325), ('pressure', 0.013518111439121648), ('workforce', 0.011742846669693196), ('member', 0.010666560684760394), ('team', 0.009887296933497837), ('patient', 0.008803448134574529)]"
20,19,272,19_tory_vote_mp_idiot,"[('tory', 0.0942142266453036), ('vote', 0.018412112661320718), ('mp', 0.012518353724306975), ('idiot', 0.012085952749934412), ('party', 0.012002668575633296), ('voter', 0.011995321484652452), ('backbone', 0.011715604806643465), ('labour', 0.010792545953044389), ('voted', 0.009831856601698842), ('backbencher', 0.008388710256101228)]"
21,20,243,20_congratulation_congrats_wow_eliana,"[('congratulation', 0.5607064072781), ('congrats', 0.08712897995467155), ('wow', 0.03665745404108279), ('eliana', 0.031713062313972425), ('celestin', 0.031713062313972425), ('fugg', 0.031713062313972425), ('fop', 0.02556148129315552), ('ta', 0.019558088244099124), ('ikram', 0.017561818990457088), ('mortgagefree', 0.017561818990457088)]"
22,21,242,21_book_library_bookshop_writing,"[('book', 0.08716862126425307), ('library', 0.021356821016266816), ('bookshop', 0.019863253735200696), ('writing', 0.018654744027528234), ('read', 0.018313492571151047), ('writer', 0.016013035652050044), ('novel', 0.014250754729446796), ('reading', 0.012966585361717386), ('written', 0.012587659426862456), ('textbook', 0.010503103789989664)]"
23,22,236,22_medical_student_med_school,"[('medical', 0.039893481660310356), ('student', 0.027937905801831694), ('med', 0.026547634379740802), ('school', 0.024656433754041536), ('teaching', 0.01125266354152208), ('career', 0.011164996475352736), ('medicine', 0.010544328633032837), ('doctor', 0.009153953721377133), ('degree', 0.008808135426906378), ('clinical', 0.008739182468345926)]"
24,23,233,23_ukraine_putin_russia_war,"[('ukraine', 0.05638921501925884), ('putin', 0.041397446616299884), ('russia', 0.03527530169565351), ('war', 0.03478721979971081), ('syria', 0.03372139233274248), ('russian', 0.029257820378351528), ('arab', 0.028516624909613677), ('genocide', 0.02544165150826912), ('crime', 0.020123473521351895), ('ukrainian', 0.017122955736858375)]"
25,24,232,24_mask_wear_wearing_ffp,"[('mask', 0.1129987592891547), ('wear', 0.04233315289224686), ('wearing', 0.03898199939504611), ('ffp', 0.013412112235157543), ('vulnerable', 0.01149694790875554), ('protect', 0.010732267870308211), ('indoor', 0.010583232106363841), ('masking', 0.009620540541815551), ('worn', 0.009027127394863731), ('mandate', 0.008168641913763245)]"
26,25,221,25_abortion_cesarean_maternal_fetal,"[('abortion', 0.03777691861716946), ('cesarean', 0.03602770487154337), ('maternal', 0.03229366353088941), ('fetal', 0.029776539616323653), ('pregnancy', 0.027273616612361502), ('lscs', 0.025370678692784643), ('pregnant', 0.02403985730183511), ('faced', 0.02327730961786764), ('birth', 0.02185823820078899), ('pph', 0.02142349847792542)]"
27,26,221,26_posted_md_karen_photo,"[('posted', 0.24306142224151964), ('md', 0.21346239086023974), ('karen', 0.21284448300862105), ('photo', 0.21269147183866774), ('horton', 0.18335534344802745), ('xoxo', 0.0062931143072599985), ('issuethank', 0.0062931143072599985), ('aaaasf', 0.0062931143072599985), ('leanne', 0.005682040291029481), ('ameliaplumbphotography', 0.005324877512620302)]"
28,27,212,27_renal_dialysis_kidney_nephrology,"[('renal', 0.06415343844830793), ('dialysis', 0.06163497609189908), ('kidney', 0.054873853860700456), ('nephrology', 0.02066688943055373), ('ckd', 0.014846573192340257), ('nephrologist', 0.014400170936600665), ('nephropathy', 0.013103325702230793), ('aki', 0.013053674981541448), ('transplant', 0.012512636831363267), ('lab', 0.012371905835584994)]"
29,28,206,28_pay_card_fee_loan,"[('pay', 0.03680222995793722), ('card', 0.02641725489505369), ('fee', 0.02421674043431853), ('loan', 0.022294482986276693), ('refund', 0.02203708861574141), ('bank', 0.020558122172585187), ('credit', 0.020000512053365484), ('paid', 0.01713112638284391), ('money', 0.016724827725934668), ('paying', 0.013228090732527379)]"
30,29,203,29_surgeon_surgical_surgery_plastic,"[('surgeon', 0.08653261995589354), ('surgical', 0.047516273691572006), ('surgery', 0.03975712578197237), ('plastic', 0.03841592054578894), ('captain', 0.016473389833695905), ('training', 0.01388891618112536), ('anatomy', 0.013239891498104367), ('applies', 0.01149204020056776), ('trainer', 0.010574810389724942), ('hayes', 0.00974655146442341)]"
31,30,180,30_que_la_de_en,"[('que', 0.08630361827329533), ('la', 0.08484799821454071), ('de', 0.08247374368942484), ('en', 0.05424935849235181), ('el', 0.04102412853454613), ('por', 0.03921810614575024), ('lo', 0.03734411560007141), ('un', 0.03512560055375407), ('se', 0.03395922602604799), ('con', 0.03224377514720345)]"
32,31,176,31_photo_pic_image_picture,"[('photo', 0.08115985231541466), ('pic', 0.06093172562553162), ('image', 0.04343497129391194), ('picture', 0.040600582963635085), ('photograph', 0.02503070890091099), ('selfie', 0.022532289685152886), ('gorgeous', 0.017601245341404906), ('took', 0.01584484519461182), ('carving', 0.015364179653850675), ('rushing', 0.015364179653850675)]"
33,32,161,32_pandemic_science_throughout_consensus,"[('pandemic', 0.08989487873060532), ('science', 0.015746689507568915), ('throughout', 0.012566439711631128), ('consensus', 0.011666578336540829), ('global', 0.009584503628377388), ('corona', 0.008915700122800676), ('epidemic', 0.008822870919004716), ('consistently', 0.008566365759084883), ('crisis', 0.00794296357340253), ('scientist', 0.007903784212685108)]"
34,33,160,33_club_horton_saturday_workout,"[('club', 0.25807765162713253), ('horton', 0.14611511790022869), ('saturday', 0.022910839811457168), ('workout', 0.02203754323734693), ('hortons', 0.016131546225421463), ('plum', 0.01503013474901453), ('beautiful', 0.013760609148001555), ('iamblooming', 0.012503805641033785), ('weekend', 0.012416231903212574), ('pool', 0.011873412291387143)]"
35,34,159,34_training_trainee_trainer_mandatory,"[('training', 0.058696893247215345), ('trainee', 0.05711229899318474), ('trainer', 0.022542512621742047), ('mandatory', 0.01296444178211801), ('recruitment', 0.00840397744089758), ('job', 0.007886226054303135), ('didnt', 0.007316857364320997), ('potentially', 0.007266250760958597), ('course', 0.006979008282636921), ('merit', 0.006948928068612734)]"
