,Unnamed: 0,Unnamed: 0.1,id,created_at,edit_history_tweet_ids,text
131,131,131,1.5642784015523226e+18,2022-08-29 15:46:48+00:00,['1564278401552322560'],Friendly warning to Beth from Jill...upset my Ben and I'll rip your limbs off ..lemon drizzle anyone?  #thearchers
137,137,137,1.5641553785852436e+18,2022-08-29 07:37:57+00:00,['1564155378585243654'],"I've added my name to @GoodLawProject's petition telling @Ofgem they need to do more to protect customers as energy prices soar. 

Will you add yours too?https://t.co/VObs7G4SB4"
142,142,142,1.5641499868115845e+18,2022-08-29 07:16:32+00:00,['1564149986811584512'],"@AnthonyMidd02 Doing a ""Boris Johnson"""
146,146,146,1.5641463500061778e+18,2022-08-29 07:02:04+00:00,['1564146350006177792'],#TorySewageParty #ToryCorruption https://t.co/6zd5QiZ1uN
149,149,149,1.5641454487215186e+18,2022-08-29 06:58:30+00:00,['1564145448721518595'],#TorySewageParty #ToryCorruption https://t.co/PnykOdkbQ6
151,151,151,1.5641446589173268e+18,2022-08-29 06:55:21+00:00,['1564144658917326848'],I've added my name to @GoodLawProject's petition telling @Ofgem they need to do more to protect customers as energy prices soar. Will you add yours too? https://t.co/i0ozLcUlPX
154,154,154,1.5641428890677494e+18,2022-08-29 06:48:19+00:00,['1564142889067749376'],#TorySewageParty #ToryCorruption https://t.co/8gLSqZ1Qy1
174,174,174,1.5637950107552154e+18,2022-08-28 07:45:59+00:00,['1563795010755215362'],#TorySewageParty #torycorruption https://t.co/gMtYdHZ1VA
181,181,181,1.5636473336649564e+18,2022-08-27 21:59:10+00:00,['1563647333664956418'],#TorySewageParty https://t.co/WUMcRWEt9G
204,204,204,1.563588224295256e+18,2022-08-27 18:04:17+00:00,['1563588224295256064'],#TorySewageParty https://t.co/zrhmgVGAoP
214,214,214,1.5635183395776307e+18,2022-08-27 13:26:35+00:00,['1563518339577630724'],#TorySewageParty https://t.co/XnYZvI97yA
