Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,nouns
53,53,1.5634029214964244e+18,2022-08-27 05:47:57+00:00,['1563402921496424448'],@jordanbpeterson So brave. 🤣,brave,brave 
54,54,1.5634011535637504e+18,2022-08-27 05:40:56+00:00,['1563401153563750400'],Hobart Botanical Gardens is a) beautiful and b) filled with teenagers chasing Pokémon.,hobart botanical garden beautiful filled teenager chasing pokmon,garden beautiful teenager pokmon 
55,55,1.5634011350416753e+18,2022-08-27 05:40:51+00:00,['1563401135041675264'],@abcnews Why are you asking us?,asking,
56,56,1.563377424640815e+18,2022-08-27 04:06:38+00:00,['1563377424640815105'],Hobart is a fantastic place to spend a Saturday.  Just saying.,hobart fantastic place spend saturday saying,place saturday 
57,57,1.5633767128170783e+18,2022-08-27 04:03:49+00:00,['1563376712817078272'],@AlboMP @SHAQ @LindaBurneyMP It's worth a like for that photo alone.,worth like photo alone,worth photo 
60,60,1.5632877498260603e+18,2022-08-26 22:10:18+00:00,['1563287749826060288'],"Outdoor giant chess game in Salamanca Place suddenly took me back to the one in Coventry City Centre. Not quite the same, but anyway.",outdoor giant chess game salamanca place suddenly took back one coventry city centre quite anyway,outdoor giant chess game place coventry city 
63,63,1.56325324067362e+18,2022-08-26 19:53:11+00:00,['1563253240673619968'],@peteratcmc Are you drunk?,drunk,drunk 
64,64,1.563146814517543e+18,2022-08-26 12:50:17+00:00,['1563146814517542912'],@FrPip @Trubshawe1 @iainl7 And cue everyone Googling the same thing.,cue everyone googling thing,cue everyone thing 
67,67,1.5631040501237883e+18,2022-08-26 10:00:21+00:00,['1563104050123788288'],@Trubshawe1 @iainl7 You and me both.,,nan 
68,68,1.5631017511922074e+18,2022-08-26 09:51:13+00:00,['1563101751192207360'],@iainl7 I bought no honey. I just gazed at her hat. The gin was wonderful. Back to the hotel now with my $18 packet of ‘healthy’ hot chocolate.,bought honey gazed hat gin wonderful back hotel packet healthy hot chocolate,honey hotel packet chocolate 
69,69,1.5630952343762452e+18,2022-08-26 09:25:19+00:00,['1563095234376245248'],There is a woman selling honey &amp; she’s wearing a yellow and black knitted hat and this hot gin is very strong.,woman selling honey amp shes wearing yellow black knitted hat hot gin strong,woman honey amp gin 
70,70,1.563093707016249e+18,2022-08-26 09:19:15+00:00,['1563093707016249345'],Friday night. Sitting on a wall at Hobart harbour drinking hot gin. As you do. https://t.co/6MeKuAuXjK,friday night sitting wall hobart harbour drinking hot gin,night hobart harbour gin 
71,71,1.5630574038513295e+18,2022-08-26 06:54:59+00:00,['1563057403851329537'],@miffythegamer Wow. I want to go back in time and drag you out of that classroom.,wow want back time drag classroom,wow time drag classroom 
72,72,1.5630469861019812e+18,2022-08-26 06:13:36+00:00,['1563046986101981186'],@bronte__lee Agreed. I arrived today and am holed up in my hotel waiting for the swarm to go to bed.,agreed arrived today holed hotel waiting swarm bed,today hotel swarm bed 
73,73,1.563046621906346e+18,2022-08-26 06:12:09+00:00,['1563046621906345984'],@Asher_Wolf Gorgeous!,gorgeous,
74,74,1.5630452716340677e+18,2022-08-26 06:06:47+00:00,['1563045271634067458'],@ItsBouquet These people need to held to account.  The Liberals are already trying to gaslight us left right and centre.,people need held account liberal already trying gaslight left right centre,gaslight centre 
75,75,1.563016346145018e+18,2022-08-26 04:11:51+00:00,['1563016346145017857'],"@KirstyWebeck That’s quite a polarising pie, Kirsty.",thats quite polarising pie kirsty,pie kirsty 
76,76,1.5630109583182725e+18,2022-08-26 03:50:26+00:00,['1563010958318272512'],@yodaberg Imagine having to share with the proles.,imagine share prole,imagine share prole 
78,78,1.562978413643993e+18,2022-08-26 01:41:07+00:00,['1562978413643993088'],"@PaulBongiorno @theprojecttv You do, Paul. I’m not sure who ‘we’ might be.",paul sure might,paul sure 
80,80,1.5629602585865175e+18,2022-08-26 00:28:58+00:00,['1562960258586517504'],Nope. 28 minutes. My pre-departure sucky sweet has all but gone.,nope minute predeparture sucky sweet gone,predeparture sweet 
81,81,1.5629589923638886e+18,2022-08-26 00:23:56+00:00,['1562958992363888640'],"Oh, that did it.",,nan 
82,82,1.5629588609227817e+18,2022-08-26 00:23:25+00:00,['1562958860922781698'],"Meanwhile, 23 minutes after scheduled takeoff on this full to the brim flying sardine tin and we’re still here… https://t.co/493NuI027M",meanwhile minute scheduled takeoff full brim flying sardine tin still,minute brim sardine tin 
