id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,nouns
1.5341018686616904e+18,2022-06-07 09:16:02+00:00,['1534101868661690370'],"@LindaBerman4 Love the quote .., millions saw the apple fall.. but only Einstein asked why ? ..",,love quote million saw apple fall einstein asked,True,quote saw apple fall einstein 
1.5337388586046423e+18,2022-06-06 09:13:34+00:00,['1533738858604642304'],@samsparkes999 Bloody love this!,,bloody love,True,bloody 
1.5337346862452367e+18,2022-06-06 08:56:59+00:00,['1533734686245236736'],@LindaBerman4 Thank you for this x,,thank,True,thank 
1.533197727579898e+18,2022-06-04 21:23:18+00:00,['1533197727579897856'],@weyland76 She sang beautifully though,,sang beautifully though,True,sang 
1.5331784477359636e+18,2022-06-04 20:06:41+00:00,['1533178447735963648'],@anotheramengirl If this is not front page on every newspaper tomorrow,,front page every newspaper tomorrow,True,page newspaper tomorrow 
1.5331779401246188e+18,2022-06-04 20:04:40+00:00,['1533177940124618752'],@AnExpatWife @SamRyderMusic Bloody amazing,,bloody amazing,True,bloody 
1.5331703639783588e+18,2022-06-04 19:34:34+00:00,['1533170363978358785'],Diversity were simply brilliant .. #PlatinumJubileeconcert,,diversity simply brilliant,True,diversity 
1.5331645043512238e+18,2022-06-04 19:11:17+00:00,['1533164504351223811'],@SleepyPapa2 Pure genius,,pure genius,True,pure genius 
1.5331636233501573e+18,2022-06-04 19:07:47+00:00,['1533163623350157312'],@wwry_jp Bloody loved this 😀,,bloody loved,True,bloody 
1.53210447126161e+18,2022-06-01 20:59:05+00:00,['1532104471261609987'],@thecoastguy This is just joyful 😀,,joyful,True,joyful 
1.5302431489200333e+18,2022-05-27 17:42:51+00:00,['1530243148920033281'],@JohnnyMercerUK You come across as such a great guy Johnny .. don’t let them distract you from the good you are doing. The NHS needs ppl like you to challenge it.,,come across great guy johnny dont let distract good need ppl like challenge,True,guy johnny dont let need challenge 
1.530040906216538e+18,2022-05-27 04:19:13+00:00,['1530040906216538112'],"@who_let_mum_out I’ve cleaned toilets,scrubbed floors, washed ironed for ppl. Whatever brought in money. I cleaned in hospitals (before I trained as a nurse) believe me,if I did not do my job well, Drs nurses could not do theirs’ you’re doing an important job Claire, be proud!",,ive cleaned toiletsscrubbed floor washed ironed ppl whatever brought money cleaned hospital trained nurse believe meif job well drs nurse could youre important job claire proud,True,floor ppl money hospital meif job nurse job claire proud 
1.528549988967805e+18,2022-05-23 01:34:51+00:00,['1528549988967804928'],"@Fox_Claire @MailOnline a young girl,with her whole future ahead of her, the greatest lesson she’s learnt at that school is,don’t question,don’t speak up,or speak out. Learning should be a joy,not indoctrination.Where were the ‘adults’ in that school? They let her, and all the girls in their care down.",,young girlwith whole future ahead greatest lesson shes learnt school isdont questiondont speak upor speak learning joynot indoctrinationwhere adult school let girl care,True,girlwith future lesson school isdont questiondont speak speak joynot school 
