id,created_at,edit_history_tweet_ids,text,clean_text,nouns
1.5588005740317243e+18,2022-08-14 12:59:52+00:00,['1558800574031724544'],"Hey @bookingcom Trying to leave a review, as invited by you, about a woeful property we stayed in last week. Oddly, the link in the email keeps freezing. We really think you should know about the dirt, broken furniture and malfunctioning cooker. And that's just for starters.",hey  trying to leave a review as invited by you about a woeful property we stayed in last week oddly the link in the email keeps freezing we really think you should know about the dirt broken furniture and malfunctioning cooker and that's just for starters,review property week link keep dirt furniture malfunctioning cooker starter
1.5587977400411832e+18,2022-08-14 12:48:36+00:00,['1558797740041183234'],"@nazneen372 Appalling! So sorry this happened to you and your son. I hope he's ok. Wrong response @mayflower Why did the woman feel ok to assault a child in your theatre? You have questions to answer,", appalling so sorry this happened to you and your son i hope he's ok wrong response  why did the woman feel ok to assault a child in your theatre you have questions to answer,response woman child theatre question
1.5585810116209705e+18,2022-08-13 22:27:24+00:00,['1558581011620970498'],Join me and @GordonBrown and sign this petition via @38degrees calling on the UK government to hold an Emergency Budget to act on poverty and boost Universal Credit immediately! https://t.co/vbI8xBa3wW,join me and  and sign this petition via  calling on the uk government to hold an emergency budget to act on poverty and boost universal credit immediately ,petition government emergency budget poverty credit
1.5574890181950423e+18,2022-08-10 22:08:13+00:00,['1557489018195042304'],@serenceinwyn @MichaelRosenYes John Agard?,  john agard,john agard
1.557420008539652e+18,2022-08-10 17:34:00+00:00,['1557420008539652097'],Join me and @GordonBrown and sign this petition via @38degrees calling on the UK government to hold an Emergency Budget to act on poverty and boost Universal Credit immediately! https://t.co/vbI8xBa3wW,join me and  and sign this petition via  calling on the uk government to hold an emergency budget to act on poverty and boost universal credit immediately ,petition government emergency budget poverty credit
1.5573608232695767e+18,2022-08-10 13:38:49+00:00,['1557360823269576704'],@isda1979 Sending love, sending love,love
1.557359929513722e+18,2022-08-10 13:35:16+00:00,['1557359929513721859'],"@jacksonsprhero Happy birthday, Jackson", happy birthday jackson,birthday jackson
1.5573018386214134e+18,2022-08-10 09:44:26+00:00,['1557301838621413388'],@hettiewagtail Happy birthday, happy birthday,birthday
1.5572827103344108e+18,2022-08-10 08:28:25+00:00,['1557282710334410752'],@emmabo Bloody hell! Really sorry you were subjected to this. Hope you have the energy to make a complaint., bloody hell really sorry you were subjected to this hope you have the energy to make a complaint,bloody hope energy complaint
1.5572730941710172e+18,2022-08-10 07:50:13+00:00,['1557273094171017217'],"RIP Raymond Briggs. Thank you for the wonderful books, telling the sometimes bitter truth with gentleness and humour #Bloomingsoot #Bloomingchimneys",rip raymond briggs thank you for the wonderful books telling the sometimes bitter truth with gentleness and humour  ,raymond briggs book truth gentleness humour
