id,created_at,edit_history_tweet_ids,text,clean_text,non_english,nouns
1.417382493095932e+18,2021-07-20 07:14:54+00:00,['1417382493095931926'],"Morning #TinyVoiceTalks! My passion is spreading the word about dyscalculia, the maths version of dyslexia (sort of). I'm an online dyscalculia tutor and really keen to offer INSET to schools so that more people can help children struggling with this SpLD  https://t.co/Ka60xMKguE https://t.co/qjn2laMzei",morning passion spreading word dyscalculia math version dyslexia sort i'm online dyscalculia tutor really keen offer inset school people help child struggling spld,True,morning passion word version dyslexia sort i dyscalculia tutor offer school spld 
1.41738207551522e+18,2021-07-20 07:13:15+00:00,['1417382075515220005'],"@Toriaclaire Morning all! My passion is spreading the word about dyscalculia, the maths version of dyslexia (sort of). I'm an online dyscalculia tutor and really keen to offer INSET to schools so that more people can help children struggling with this SpLD. Find me at https://t.co/Ka60xMKguE.",morning passion spreading word dyscalculia math version dyslexia sort i'm online dyscalculia tutor really keen offer inset school people help child struggling spld find,True,morning passion word version dyslexia sort i dyscalculia tutor offer school find 
1.4172332039040942e+18,2021-07-19 21:21:41+00:00,['1417233203904094214'],@MrAllington Oh even better! Huge congrats! 😍,even better huge congrats,True,
1.4172287954052874e+18,2021-07-19 21:04:10+00:00,['1417228795405287424'],@MrAllington Yaaay! 😍,yaaay,True,yaaay 
1.4172185546597376e+18,2021-07-19 20:23:28+00:00,['1417218554659737603'],@DrJessTaylor So what does cause it then?,doe cause,True,doe cause 
1.4168762551741768e+18,2021-07-18 21:43:18+00:00,['1416876255174176769'],"@merrillteaches Oh I'm having this same issue at the moment. I can't look at any of the photos of me at my best friend's wedding in May. So really well done because you're so right that we should accept ourselves for who we are. If it helps, though, your profile pic is stunning! 😍",i'm issue moment can't look photo best friend's wedding may really well done right accept help though profile pic stunning,True,i issue moment friend wedding help pic 
1.416820226046505e+18,2021-07-18 18:00:39+00:00,['1416820226046504962'],@TJGriffiths @MrsSarahMullin @word_deed Well this has confused me. https://t.co/7ESZ7deCZW,well confused,True,
1.416818818417107e+18,2021-07-18 17:55:04+00:00,['1416818818417106950'],"@TJGriffiths @MrsSarahMullin @word_deed God, I LOVE your choice of hat here 🤣🤣🤣",god love choice hat,True,choice hat 
1.416805963252777e+18,2021-07-18 17:03:59+00:00,['1416805963252776963'],@TJGriffiths @MrsSarahMullin @word_deed Fantastic Tom! 😍,fantastic tom,True,tom 
1.4163852778121708e+18,2021-07-17 13:12:20+00:00,['1416385277812170760'],@Gwenelope @oldandrewuk We're in a car. And I'm dying 🥵,we're car i'm dying,True,car i 
1.416113903830983e+18,2021-07-16 19:13:59+00:00,['1416113903830982664'],Absolutely! And good luck and positive vibes to those with another week left to go xxx https://t.co/zwYgjExpya,absolutely good luck positive vibe another week left xxx,True,luck vibe week xxx 
1.416110640591147e+18,2021-07-16 19:01:01+00:00,['1416110640591147017'],@RobGoffee Love it! 😍,love,True,love 
1.4161105637012357e+18,2021-07-16 19:00:43+00:00,['1416110563701235713'],"@neilayates Oh my goodness, how awful! We're very much still hibernating despite the double jabs 😢",goodness awful we're much still hibernating despite double jab,True,goodness awful jab 
1.4157930567297393e+18,2021-07-15 21:59:03+00:00,['1415793056729739264'],@marshychemist @RogersHistory My very first class of year 4s will be 34 too 😳,first class year,True,class year 
1.4155745351229194e+18,2021-07-15 07:30:43+00:00,['1415574535122919425'],@LL4mb Thanks so much Linda! 😍,thanks much linda,True,linda 
1.4155744604810322e+18,2021-07-15 07:30:26+00:00,['1415574460481032192'],@CharlieDrake67 Thank you my lovely! 😍,thank lovely,True,thank 
1.4153960355564257e+18,2021-07-14 19:41:26+00:00,['1415396035556425733'],@NoContextBrits TODAY YEARS OLD!! 😱,today year old,True,today year 
1.415391744082985e+18,2021-07-14 19:24:23+00:00,['1415391744082984969'],@Sarah_Woody_87 Feel free to email me if you'd like to chat further 👍,feel free email like chat,True,email chat 
1.4153852131826117e+18,2021-07-14 18:58:26+00:00,['1415385213182611460'],@Sarah_Woody_87 I'm actually a specialist dyscalculia teacher and assessor so am happy to help if I can. If you have a look at my website there is some information there and some links to other excellent websites https://t.co/Ka60xMKguE,i'm actually specialist dyscalculia teacher assessor happy help look website information link excellent website,True,i teacher assessor help information link excellent website 
1.415383823139881e+18,2021-07-14 18:52:54+00:00,['1415383823139880964'],@MissK_KS2 Aw thanks! Looking forward to working with you too 👍,thanks looking forward working,True,
1.415383419371065e+18,2021-07-14 18:51:18+00:00,['1415383419371065351'],@JosieDuncanSong Have a great time! 😍,great time,True,time 
1.4153831609976955e+18,2021-07-14 18:50:16+00:00,['1415383160997695489'],@DeputyPeake Oh you look gorgeous! 😍,look gorgeous,True,look 
1.4153828315771494e+18,2021-07-14 18:48:58+00:00,['1415382831577149446'],@UnofficialOA I KNEW it.,knew,True,
1.4153766385488443e+18,2021-07-14 18:24:21+00:00,['1415376638548844545'],"Classroom is cleared and my school career of 26 years is pretty much over! I'll still be tutoring and providing staff training (hopefully!) but it feels so strange to be branching out on my own 😬
https://t.co/Ka60xMKguE",classroom cleared school career year pretty much i'll still tutoring providing staff training hopefully feel strange branching,True,classroom school career year i staff branching 
1.415374229923668e+18,2021-07-14 18:14:47+00:00,['1415374229923667974'],"@Sanchooo10 You have NOTHING to apologise for @Sanchooo10, neither do @MarcusRashford or @BukayoSaka87. You are all incredible young men who have given us hope again and who brought us a month of joy. Thank you so much to you and all the @England team and your incredible manager. Much love❤️",nothing apologise neither incredible young men given hope brought month joy thank much team incredible manager much love,True,nothing apologise month joy thank team manager love 
1.4150021696867738e+18,2021-07-13 17:36:21+00:00,['1415002169686773763'],@miss_paskin Oh I'm so so sorry 😢 Our school has had to close too so it feels a rather ignominious end to 26 years of teaching in schools for me! 😭,i'm sorry school close feel rather ignominious end year teaching school,True,i school feel end year school 
1.414675063866106e+18,2021-07-12 19:56:33+00:00,['1414675063866105857'],@MarcusRashford @England You are an absolutely incredible man and should be so proud of everything you've done. Thanks to you and the team for giving us such a wonderful summer and for giving us hope again. You are all fantastic 😍,absolutely incredible man proud everything done thanks team giving wonderful summer giving hope fantastic,True,man proud everything team summer hope 
1.414350107638702e+18,2021-07-11 22:25:17+00:00,['1414350107638702084'],@Oggs26 @MarcusRashford And a pretty amazing one at that ❤️,pretty amazing one,True,
1.4143490878272717e+18,2021-07-11 22:21:14+00:00,['1414349087827271687'],Absolutely this. https://t.co/mEa3bibtvg,absolutely,True,
1.4143454749418906e+18,2021-07-11 22:06:53+00:00,['1414345474941890565'],@MarcusRashford @BukayoSaka87 @Sanchooo10 You have been such incredible players and done us so proud. We are so grateful to you for giving us such an amazing tournament and are so sorry you didn't get the win you deserved. Never forget what incredible young men you are 🏴󠁧󠁢󠁥󠁮󠁧󠁿,incredible player done proud grateful giving amazing tournament sorry get win deserved never forget incredible young men,True,player tournament sorry 
1.414344247160017e+18,2021-07-11 22:02:00+00:00,['1414344247160016902'],@England You have been such an incredible team and done us so proud. Please know how grateful the country are for giving us such an amazing tournament and how sorry we are you didn't get the win you deserved. Never forget what incredible young men you are 🏴󠁧󠁢󠁥󠁮󠁧󠁿,incredible team done proud please know grateful country giving amazing tournament sorry get win deserved never forget incredible young men,True,team please country tournament sorry 
1.4143434304242074e+18,2021-07-11 21:58:45+00:00,['1414343430424207366'],@drphiliplee1 I just want to give them all the biggest hug. I feel for them so much because they have done an incredible job.,want give biggest hug feel much done incredible job,True,hug feel job 
1.4143427834779812e+18,2021-07-11 21:56:11+00:00,['1414342783477981187'],I am so proud of our team. Every single one of them is incredible and I hope we are all big enough to give those players the support they need in their defeat 🏴󠁧󠁢󠁥󠁮󠁧󠁿,proud team every single one incredible hope big enough give player support need defeat,True,team hope player support defeat 
1.4143312091744584e+18,2021-07-11 21:10:11+00:00,['1414331209174458373'],"@beatris_mata @ECISD_T2L @MathLeaders @ElemMathChat @iteachmathAll This is brilliant, thank you! 😍",brilliant thank,True,thank 
1.4143311238538977e+18,2021-07-11 21:09:51+00:00,['1414331123853897737'],This is brilliant! 😍 https://t.co/5pfDEP1Kxg,brilliant,True,brilliant 
1.4142098977601864e+18,2021-07-11 13:08:09+00:00,['1414209897760186375'],@La_Biologuita Well best of luck love! X,well best luck love,True,luck love 
1.4142098920853422e+18,2021-07-11 13:08:07+00:00,['1414209892085342211'],@MissK_KS2 If you go the ATM website (Association of Teachers of Mathematics) it's on sale there and a great price! Definitely get a copy xx,atm website association teacher mathematics sale great price definitely get copy,True,association teacher sale price copy 
1.4142094540741263e+18,2021-07-11 13:06:23+00:00,['1414209454074126338'],@benniekara I live on a narrowboat already and I'm going to be doing online dyscalculia tutoring and training from next week onwards 😍 Which is lovely but we're both working from home so I have to work from the bedroom and have nowhere to store my stuff 🤣,live narrowboat already i'm going online dyscalculia tutoring training next week onwards lovely we're working home work bedroom nowhere store stuff,True,narrowboat online dyscalculia week home work bedroom stuff 
1.4142052026102047e+18,2021-07-11 12:49:29+00:00,['1414205202610204673'],"@La_Biologuita Absolutely, it's always tough at this time of year but NOTHING compares to what we've all been through over the last 12-18 months. I wish there was something I could do to help see you through 😢 We finish this coming Thursday and honestly even that feels like a lot x",absolutely always tough time year nothing compare we've last month wish something could help see finish coming thursday honestly even feel like lot,True,time year nothing compare month something lot 
1.414203585735299e+18,2021-07-11 12:43:04+00:00,['1414203585735299072'],"@La_Biologuita Oh love, I'm not surprised!! 😳",love i'm surprised,True,love i 
1.4142033903310766e+18,2021-07-11 12:42:17+00:00,['1414203390331076608'],@Jonesy_K8 @ThainMike Ooo sounds nice but it's just not a consistent enough experience for me 😂,ooo sound nice consistent enough experience,True,experience 
1.4142031527782892e+18,2021-07-11 12:41:20+00:00,['1414203152778289159'],@ThainMike I don't really understand why there are 2 sides to this issue. Any right-minded person KNOWS that bullet tip is the only choice 🤷🏼‍♀️,really understand side issue rightminded person know bullet tip choice,True,side issue person bullet tip choice 
1.41420290714735e+18,2021-07-11 12:40:22+00:00,['1414202907147350017'],@Jonesy_K8 @ThainMike What?! Whyyyyyy? 😱,whyyyyyy,True,whyyyyyy 
1.414199806625452e+18,2021-07-11 12:28:03+00:00,['1414199806625452035'],@MissSDoherty THEY'RE MY FAVOURITE!! 😍,they're favourite,True,
1.4141993139038577e+18,2021-07-11 12:26:05+00:00,['1414199313903857668'],"@benniekara YES! Me too! I'm moving out of my classroom and will be working from my narrowboat from now on. I have SO MANY gorgeous but unused notebooks, where am I going to keep them?! 😱 Because I KNOW I can't get rid of them 😭",yes i'm moving classroom working narrowboat many gorgeous unused notebook going keep know can't get rid,True,classroom notebook 
1.4141968200839864e+18,2021-07-11 12:16:11+00:00,['1414196820083986434'],"@TJGriffiths My goodness, I am so dreadfully sorry to see this Tom. I'm sorry that I can donate at the moment (long story) but please please send them my love of there is ever a moment to do so. Thinking of you all xxxxxx",goodness dreadfully sorry see tom i'm sorry donate moment long story please please send love ever moment thinking xxxxxx,True,goodness moment story please moment xxxxxx 
1.4141963811207045e+18,2021-07-11 12:14:26+00:00,['1414196381120704515'],Absolutely brilliant book of you support anyone with dyscalculia or severe maths learning difficulties 🎲 https://t.co/A8fhcrQmQz,absolutely brilliant book support anyone dyscalculia severe math learning difficulty,True,book support anyone dyscalculia math learning difficulty 
1.4132428309072325e+18,2021-07-08 21:05:22+00:00,['1413242830907232261'],@UnofficialOA Fantastic news! Congratulations 👏,fantastic news congratulation,True,news congratulation 
