Unnamed: 0,id,created_at,edit_history_tweet_ids,text,withheld,clean_text,non_english,whitespace
1507,1.2771577974620037e+18,2020-06-28 08:32:02+00:00,['1277157797462003714'],"@astronautalis on reflection and for my own catharsis, this will be my final interaction on this unless I'm supporting your victims. 
this apology is vile. not only did you NAME one of the women, and detail part of what you did, you were advised not to post this.
you're selfish, you're through.",," on reflection and for my own catharsis this will be my final interaction on this unless im supporting your victims 
this apology is vile not only did you name one of the women and detail part of what you did you were advised not to post this
youre selfish youre through",True,False
1509,1.2769508159164047e+18,2020-06-27 18:49:33+00:00,['1276950815916404737'],@jaykaytho that would be ideal,, that would be ideal,True,False
1510,1.2769455692447457e+18,2020-06-27 18:28:42+00:00,['1276945569244745729'],i'm not even kidding. if you're male please refrain from contacting me for at least 24 hrs,,im not even kidding if youre male please refrain from contacting me for at least 24 hrs,True,False
1511,1.2769453008343532e+18,2020-06-27 18:27:38+00:00,['1276945300834353152'],"@gregsmith_uk thinks blanket testing NHS staff was a labour political stunt 

men are cancelled. https://t.co/Q7QCAhTy6E",," thinks blanket testing nhs staff was a labour political stunt 

men are cancelled ",True,False
1514,1.2769167745591992e+18,2020-06-27 16:34:17+00:00,['1276916774559199234'],@calumishere Fitness video games are actually a really fun solo thing!!,, fitness video games are actually a really fun solo thing,True,False
1515,1.276900920232751e+18,2020-06-27 15:31:17+00:00,['1276900920232751104'],@astronautalis look I'm glad you've taken those steps but fucking hell.. you've got a lot of further work and personal suffering to go through to even make it up one half iota to these poor women.,, look im glad youve taken those steps but fucking hell youve got a lot of further work and personal suffering to go through to even make it up one half iota to these poor women,True,False
1517,1.2768443864170865e+18,2020-06-27 11:46:39+00:00,['1276844386417086464'],Look it's someone that isn't part of the GRT communities using a slur openly https://t.co/dUzs0mM3Nv,,look its someone that isnt part of the grt communities using a slur openly ,True,False
1519,1.2768283964174008e+18,2020-06-27 10:43:06+00:00,['1276828396417400833'],"How the fuck you gonna go on and not address this @astronautalis??? Retweeting all this support and all these slogans??!
I'm so angry. https://t.co/h7roSw8wel",,"how the fuck you gonna go on and not address this  retweeting all this support and all these slogans
im so angry ",True,False
1520,1.2768265704229765e+18,2020-06-27 10:35:51+00:00,['1276826570422976524'],cool i guess i need a couple tattoos covered up,,cool i guess i need a couple tattoos covered up,True,False
1521,1.2767679479487242e+18,2020-06-27 06:42:54+00:00,['1276767947948724224'],yikes...... @BerwickConstit1 that's not a good look https://t.co/mWSqxbZgkS,,yikes  thats not a good look ,True,False
1522,1.2766418130053243e+18,2020-06-26 22:21:41+00:00,['1276641813005324296'],"@brigittephillip jesus... i'm sorry!!! ❤️
truly acab",," jesus im sorry 
truly acab",True,False
1527,1.2762494210517688e+18,2020-06-25 20:22:28+00:00,['1276249421051768832'],@BrennKerry Kerry I'm so so sorry this is happening to you!! Please shout if there's even the littlest of things that I can help you with 😔💕 I don't know what I can offer but I am here for you x,, kerry im so so sorry this is happening to you please shout if theres even the littlest of things that i can help you with  i dont know what i can offer but i am here for you x,True,False
1528,1.276248438221529e+18,2020-06-25 20:18:33+00:00,['1276248438221529093'],"So happy to have this as a rewatchable thing, was a brilliant conversation to listen in to ❤️ https://t.co/sJyNj4AOF9",,so happy to have this as a rewatchable thing was a brilliant conversation to listen in to  ,True,False
1531,1.276215363940778e+18,2020-06-25 18:07:08+00:00,['1276215363940777986'],@bbagray1983 @MayorofLondon That's the upper classes actually.,,  thats the upper classes actually,True,False
1532,1.2762148600706867e+18,2020-06-25 18:05:08+00:00,['1276214860070686720'],@DemosRules @MayorofLondon Do you,,  do you,True,False
1533,1.2762073667453174e+18,2020-06-25 17:35:21+00:00,['1276207366745317377'],"wild that Travellers etc get so much stick for ""littering"" but we're just gonna ignore the mess on the beaches today cos it was settled people 🙃",,wild that travellers etc get so much stick for littering but were just gonna ignore the mess on the beaches today cos it was settled people ,True,False
1535,1.276118603721511e+18,2020-06-25 11:42:38+00:00,['1276118603721510913'],Someone go join on my behalf please ❤️ https://t.co/JPh1PBnLrW,,someone go join on my behalf please  ,True,False
1536,1.2758810350630502e+18,2020-06-24 19:58:38+00:00,['1275881035063050242'],@GRTactivist @Essex_CC I really would like that silence to be a shock but it's not..,,  i really would like that silence to be a shock but its not,True,False
1540,1.275854192712745e+18,2020-06-24 18:11:58+00:00,['1275854192712744961'],"This is really amazing and such a great thing ❤️
(but God, don't read far into the comments). https://t.co/nWOkrwX4xW",,"this is really amazing and such a great thing 
but god dont read far into the comments ",True,False
1541,1.2758406123366236e+18,2020-06-24 17:18:00+00:00,['1275840612336623618'],Still time to get in on this! Such a good panel https://t.co/krDgPLDMRa,,still time to get in on this such a good panel ,True,False
1546,1.275101053613113e+18,2020-06-22 16:19:16+00:00,['1275101053613113346'],"apparently ""anxiety hangovers"" are a thing and tbh i'd be upset about that if i weren't shattered",,apparently anxiety hangovers are a thing and tbh id be upset about that if i werent shattered,True,False
1548,1.2750999541519073e+18,2020-06-22 16:14:53+00:00,['1275099954151907328'],@DavieDonaldson @aberdeenuni Well done!! https://t.co/saiF7ta7Y9,,  well done ,True,False
1552,1.2743811327217295e+18,2020-06-20 16:38:33+00:00,['1274381132721729536'],"@GRTactivist @PierceOCinneide @KittyHollandIT @IrishTimes How he can say all that and call himself an activist of any kind, let alone HUMAN RIGHTS, is mind boggling. 
I'm so sorry you, collectively, have to deal with such horrible people so often ❤️",,"    how he can say all that and call himself an activist of any kind let alone human rights is mind boggling 
im so sorry you collectively have to deal with such horrible people so often ",True,False
1559,1.274271342762832e+18,2020-06-20 09:22:17+00:00,['1274271342762831873'],"@RichieOffish @GypsyTravellerM @eBay_UK @AskeBay @StopFundingHate I'm glad you're so open to casual racism, that's a really cool stance to take.",,     im glad youre so open to casual racism thats a really cool stance to take,True,False
1565,1.2740021527348306e+18,2020-06-19 15:32:37+00:00,['1274002152734830592'],@GypsyTravellerM @eBay_UK @AskeBay @StopFundingHate @eBay_UK are clearly very happy to host racist items 🙄,,     are clearly very happy to host racist items ,True,False
1566,1.2740019664111534e+18,2020-06-19 15:31:53+00:00,['1274001966411153408'],@ryan181112 @GypsyTravellerM @eBay_UK @AskeBay @StopFundingHate Right??,,     right,True,False
