id,created_at,edit_history_tweet_ids,text,clean_text,non_english
1.3732731494002483e+18,2021-03-20 14:00:07+00:00,['1373273149400248323'],"@TheBoltonNews This is causing grid lock on all surrounding roads. Avoid Bromley cross, Tonge moor and even blocked up Egerton Road",causing grid lock surrounding road avoid bromley cross tonge moor even blocked egerton road,False
1.373270680033198e+18,2021-03-20 13:50:18+00:00,['1373270680033198082'],Avoid Bromley Cross/Tonge Moor... impact of Blackburn Rd closure,avoid bromley crosstonge moor impact blackburn rd closure,False
1.3732105003649556e+18,2021-03-20 09:51:10+00:00,['1373210500364955653'],@angellicabell @ScalaRadio Star Wars #darthvader 😱,star war,False
1.3732003550146847e+18,2021-03-20 09:10:52+00:00,['1373200355014684673'],https://t.co/za0Q6f1mTY,,False
1.3728226671040307e+18,2021-03-19 08:10:04+00:00,['1372822667104030720'],Happy #RedNoseDay  everyone!! #embarrassingheadteacher @cokezero @rednoseday https://t.co/Bab37vG1f3,happy everyone,False
1.372817632043352e+18,2021-03-19 07:50:03+00:00,['1372817632043352064'],Happy #RedNoseDay everyone!! #embarrassingheafteacher @CocaColaZero https://t.co/nyVJhNeDDK,happy everyone,False
1.3723210769659535e+18,2021-03-17 22:56:55+00:00,['1372321076965953540'],@VanessaKirby #piecesofawoman phenomenal performance,phenomenal performance,False
1.372304013711057e+18,2021-03-17 21:49:07+00:00,['1372304013711056896'],@TheScript_Danny Looking forward to Edinburgh 👍,looking forward edinburgh,False
1.3714376464347382e+18,2021-03-15 12:26:29+00:00,['1371437646434738179'],The things we do #Embarrassedheadteacher https://t.co/cJ2zalVHK7,thing,False
1.37102845016585e+18,2021-03-14 09:20:29+00:00,['1371028450165850114'],https://t.co/pGblh2wjzC,,False
1.3710281346409472e+18,2021-03-14 09:19:14+00:00,['1371028134640947202'],Just posted a photo https://t.co/7EMlbO3Mvd,posted photo,False
1.370763986065617e+18,2021-03-13 15:49:36+00:00,['1370763986065616899'],Dark chocolate Amaretto cake for the Mother In Law #teachjotobake #mothersday #hopeivegotcaketomorrow https://t.co/4tjhplTDx9,dark chocolate amaretto cake mother law,False
1.3707635895822705e+18,2021-03-13 15:48:01+00:00,['1370763589582270464'],Dark chocolate Amaretto cake for the Mother In Law #teachjotobake #mothersday #hopeivegotcaketomorrow @ Bolton https://t.co/22fIHkSRZB,dark chocolate amaretto cake mother law bolton,False
1.36940170896776e+18,2021-03-09 21:36:24+00:00,['1369401708967759872'],Too good not to steal and share https://t.co/244gJFkmoA,good steal share,False
1.36940150678553e+18,2021-03-09 21:35:36+00:00,['1369401506785529860'],Too good not to steal and share https://t.co/UEIQbR5VFd,good steal share,False
1.369384269710254e+18,2021-03-09 20:27:06+00:00,['1369384269710254084'],"@piersmorgan not a fan but will always thank him for this 

https://t.co/13TyPWQ2SX

#haveyouofferedtoresignGav",fan always thank,False
1.3689022974308147e+18,2021-03-08 12:31:55+00:00,['1368902297430814720'],"When your staff know you too well... ❤️🤣 @ Eccles, Lancashire https://t.co/LoUTzYzhLt",staff know well eccles lancashire,False
1.368568438382334e+18,2021-03-07 14:25:17+00:00,['1368568438382333956'],"#teachjotobake A rather ugly looking lemon drizzle sponge cake with lemon butter cream #2ndattempt
The first attempt was even uglier!! https://t.co/oTvmSka7tc",rather ugly looking lemon drizzle sponge cake lemon butter cream first attempt wa even uglier,False
1.3685682217675284e+18,2021-03-07 14:24:25+00:00,['1368568221767528453'],"#teachjotobake A rather ugly looking lemon drizzle sponge cake with lemon butter cream #2ndattempt
The first attempt was even uglier!! @ Bolton https://t.co/ZSzaAdAYNH",rather ugly looking lemon drizzle sponge cake lemon butter cream first attempt wa even uglier bolton,False
1.3685160270557676e+18,2021-03-07 10:57:01+00:00,['1368516027055767553'],Joyous  https://t.co/0KOoSeE7BD,joyous,False
1.368515288891818e+18,2021-03-07 10:54:05+00:00,['1368515288891817984'],@MrEFinch @BridgeeCee Done,done,False
1.3684808361908265e+18,2021-03-07 08:37:11+00:00,['1368480836190826500'],This ludicrous illustration is all over the press today. It’s ludicrous for lots of reasons but the most important question I have is - where are the other 21 children??? https://t.co/i4C1B5SKA0,ludicrous illustration press today ludicrous lot reason important question child,False
1.3682476766057636e+18,2021-03-06 17:10:41+00:00,['1368247676605763587'],Oreo cookie chocolate cake. Not the prettiest cake but should meet the requirements of @swiiftex ❤️👍 #teachjotobake https://t.co/IIm4ed0NnG,oreo cookie chocolate cake prettiest cake meet requirement,False
1.368247415258706e+18,2021-03-06 17:09:39+00:00,['1368247415258705928'],Oreo cookie chocolate cake. Not the prettiest cake but should meet the requirements of @swiiftex ❤️👍 #teachjotobake @ Bolton https://t.co/GE3wGDnPgW,oreo cookie chocolate cake prettiest cake meet requirement bolton,False
1.3682138478494597e+18,2021-03-06 14:56:16+00:00,['1368213847849459716'],https://t.co/ucD8e3YEZr,,False
1.368213732837499e+18,2021-03-06 14:55:48+00:00,['1368213732837498887'],Too good not to steal and share https://t.co/9zbhE5uklw,good steal share,False
1.3681310105216614e+18,2021-03-06 09:27:06+00:00,['1368131010521661446'],https://t.co/wqhm85mTnM,,False
1.3679501207262577e+18,2021-03-05 21:28:18+00:00,['1367950120726257664'],"@MrEFinch #FridayNightPileOn I hope that parents are preparing for the ‘reverse parents evening’ next week where we will be engaging in a laser like analysis of progress and attainment, assessing the quality of their teaching and learning provision #outstanding #good #RI #inadequate",hope parent preparing reverse parent evening next week engaging laser like analysis progress attainment assessing quality teaching learning provision,False
1.3679193956417126e+18,2021-03-05 19:26:13+00:00,['1367919395641712642'],"@branwenjeffreys I love the fact that, every now and again, you see the cheeky side of serious journalists #beenontheproseccobranwen?!! 
👍👍🤣",love fact every see cheeky side serious journalist,False
1.3679116600910438e+18,2021-03-05 18:55:28+00:00,['1367911660091043842'],"https://t.co/tLKOLpOCe4

The best gin in the world. No comparison. Seek it out @worsleyfinewines 

A birthday gift to myself #imported @ Bolton https://t.co/4MPwdCYSfT",best gin world comparison seek birthday gift bolton,False
1.3678834054137774e+18,2021-03-05 17:03:12+00:00,['1367883405413777412'],Classrooms have continued to ‘buzz with activity’ for the last 12 months regardless Mr Hancock @MattHancock,classroom continued buzz activity last month regardless mr hancock,False
1.3672485920172524e+18,2021-03-03 23:00:41+00:00,['1367248592017252352'],@Samfr This isn’t morally right in either instance,isnt morally right either instance,False
1.367231359484371e+18,2021-03-03 21:52:12+00:00,['1367231359484370946'],"https://t.co/0WoEx2NcZo 

An absolute scandal @ Conservative Party https://t.co/ToL5DLZkUV",absolute scandal conservative party,False
1.3672296493408174e+18,2021-03-03 21:45:24+00:00,['1367229649340817409'],https://t.co/0WoEx2NcZo,,False
1.3665147988804567e+18,2021-03-01 22:24:51+00:00,['1366514798880456707'],Once again I stole this. Just too good not share #parentsjustknow https://t.co/sC26PzCWdb,stole good share,False
1.3664360602223985e+18,2021-03-01 17:11:58+00:00,['1366436060222398464'],"Berry, mango and passion fruit pavlova... can you have too much fruit?!!! #teachjotobake https://t.co/mJVc6FqF75",berry mango passion fruit pavlova much fruit,False
1.3664355239428874e+18,2021-03-01 17:09:50+00:00,['1366435523942887429'],"Berry, mango and passion fruit pavlova... can you have too much fruit?!!! #teachjotobake @ Bolton https://t.co/FeRT2KsWFD",berry mango passion fruit pavlova much fruit bolton,False
1.3663495811942564e+18,2021-03-01 11:28:20+00:00,['1366349581194256385'],Just posted a photo https://t.co/UuUvioN8SP,posted photo,False
1.3661340159635866e+18,2021-02-28 21:11:45+00:00,['1366134015963586560'],"@grahamandre @f33lthesun @Crapule68 @ictlinks @MrGPrimary @zygote23 @gazneedle @HYWEL_ROBERTS @geordiecat2012 @MrEFinch @rondelle10_b @JamesWJCain #FebMusicChallenge21 #songsthatcouldmakegreatbooks 
1. Bittersweet Symphony- The Verve 
2. Earth Boots - Galliano 
3. Ordinary World - Duran Duran
4. Virtual Insanity - Jamiroquai
5. The Book Of Love - Peter Gabriel",bittersweet symphony verve earth boot galliano ordinary world duran duran virtual insanity jamiroquai book love peter gabriel,False
1.366072359640322e+18,2021-02-28 17:06:45+00:00,['1366072359640322050'],Waiting for the meringue I have made Nigella’s sunken Amaretto cake #teachjotobake https://t.co/c7OEDh98Eq,waiting meringue made nigella sunken amaretto cake,False
1.3660721136695624e+18,2021-02-28 17:05:46+00:00,['1366072113669562373'],Waiting for the meringue I have made Nigella’s sunken Amaretto cake #teachjotobake https://t.co/Rtu2WgVHES,waiting meringue made nigella sunken amaretto cake,False
1.366047216553644e+18,2021-02-28 15:26:51+00:00,['1366047216553644039'],@anne3022 Thank you Anne xx,thank anne xx,False
1.366034303486935e+18,2021-02-28 14:35:32+00:00,['1366034303486935043'],Pavlova stage 1 complete #teachjotobake https://t.co/ctuZgmcd3K,pavlova stage complete,False
1.3660340737943265e+18,2021-02-28 14:34:37+00:00,['1366034073794326532'],Pavlova stage 1 #teachjotobake https://t.co/zxwNRpMaEk,pavlova stage,False
1.366008737903698e+18,2021-02-28 12:53:56+00:00,['1366008737903697924'],"Thank you lovely people for my birthday messages etc. 49... how did I get here??? Miss sharing a cold glass of something with you... not long now 
Enjoy a day in the sun everyone xx @ Bolton https://t.co/eubgg4sCOn",thank lovely people birthday message etc get miss sharing cold glass something long enjoy day sun everyone xx bolton,False
1.3656864885418967e+18,2021-02-27 15:33:26+00:00,['1365686488541896706'],Afternoon walk #notgrimupnorth https://t.co/UU2yZzQyTM,afternoon walk,False
1.3656862205426442e+18,2021-02-27 15:32:22+00:00,['1365686220542644230'],"Afternoon walk #notgrimupnorth @ Belmont, Lancashire https://t.co/OoFuwW7Syk",afternoon walk belmont lancashire,False
1.365654701275046e+18,2021-02-27 13:27:08+00:00,['1365654701275045888'],Just posted a photo https://t.co/q6dM8HHt2M,posted photo,False
1.3656512866208563e+18,2021-02-27 13:13:33+00:00,['1365651286620856320'],@MarcIles Waiting for better days to come https://t.co/27JCRrYqC7,waiting better day come,False
1.3654435987083223e+18,2021-02-26 23:28:17+00:00,['1365443598708322304'],"@queenkarenclyne @HappyHead74 The best TV show

Ever",best tv show ever,False
1.3650539641280512e+18,2021-02-25 21:40:01+00:00,['1365053964128051202'],https://t.co/BE0c2vWb46,,False
1.3650538667698545e+18,2021-02-25 21:39:37+00:00,['1365053866769854469'],Just posted a photo https://t.co/g1KpjbNLzs,posted photo,False
1.3646481484973916e+18,2021-02-24 18:47:27+00:00,['1364648148497391623'],"I can’t recommend this highly enough 
https://t.co/pRMp3bKnLt @ The Lowry https://t.co/3Z5au74p4I",cant recommend highly enough lowry,False
1.3646468668691825e+18,2021-02-24 18:42:21+00:00,['1364646866869182467'],Can’t recommend this highly enough  https://t.co/pRMp3bsMTV,cant recommend highly enough,False
1.3643338829470802e+18,2021-02-23 21:58:40+00:00,['1364333882947080192'],@isright @MrEFinch @piersmorgan Sorry he’s on my blocked list!,sorry blocked list,False
